# u_1,pdf
1.408040979700854400e+00,1.144227755259598217e-01
1.421603969017093849e+00,1.124087332724702237e-01
1.435166958333333298e+00,1.060609036699844548e-01
1.448729947649572303e+00,1.078771382021425501e-01
1.462292936965811752e+00,1.037951061348101334e-01
1.475855926282051200e+00,9.786087449509246750e-02
1.489418915598290205e+00,9.282576886138686756e-02
1.502981904914529654e+00,8.881566687453694431e-02
1.516544894230769103e+00,8.696346730214390974e-02
1.530107883547008552e+00,8.131695598434016126e-02
1.543670872863248000e+00,7.951870397230777210e-02
1.557233862179487005e+00,7.741474911822364413e-02
1.570796851495726454e+00,7.800817228219099342e-02
1.584359840811965903e+00,7.214587072295314263e-02
1.597922830128204907e+00,6.995200326826712944e-02
1.611485819444444356e+00,6.680506224719674757e-02
1.625048808760683805e+00,6.299276798168117197e-02
1.638611798076922810e+00,6.355022610541286032e-02
1.652174787393162259e+00,5.959407167892598334e-02
1.665737776709401707e+00,5.752608186508651605e-02
1.679300766025640712e+00,5.486466888727069280e-02
1.692863755341880161e+00,5.085456690042326061e-02
1.706426744658119610e+00,4.964973805236132243e-02
1.719989733974358614e+00,4.768964335924021081e-02
1.733552723290598063e+00,4.510016046190294670e-02
1.747115712606837512e+00,4.402120925468327312e-02
1.760678701923076517e+00,4.073040807265425334e-02
1.774241691239315966e+00,4.094619831409609251e-02
1.787804680555555414e+00,3.598302276087467916e-02
1.801367669871794863e+00,3.452643863112187655e-02
1.814930659188034312e+00,3.109177728813209557e-02
1.828493648504273317e+00,3.146941021066001348e-02
1.842056637820512766e+00,2.861018951151817966e-02
1.855619627136752214e+00,2.758518586465855127e-02
1.869182616452991219e+00,2.654219969767667928e-02
1.882745605769230668e+00,2.691983262020283471e-02
1.896308595085470117e+00,2.395271680034236766e-02
1.909871584401709121e+00,2.326938103576803654e-02
1.923434573717948570e+00,2.283780055287748870e-02
1.936997563034188019e+00,2.091367089999862997e-02
1.950560552350427024e+00,1.988866725313713502e-02
1.964123541666666473e+00,1.862989084470951032e-02
1.977686530982905921e+00,1.697549899363603315e-02
1.991249520299144926e+00,1.622023314858019039e-02
2.004812509615384375e+00,1.584260022605123511e-02
2.018375498931623824e+00,1.402636569389417893e-02
2.031938488247862828e+00,1.307329212751419042e-02
2.045501477564102277e+00,1.316320472811521348e-02
2.059064466880341726e+00,1.134697019595798384e-02
2.072627456196581175e+00,1.055573931066069830e-02
