# u_1,pdf
-2.048231174999999737e+00,6.497783796700711510e-03
-2.041662484999999805e+00,7.091866886685256090e-03
-2.035093794999999872e+00,7.277517852305288686e-03
-2.028525104999999940e+00,7.685949976669361784e-03
-2.021956415000000007e+00,8.280033066653466611e-03
-2.015387725000000074e+00,7.426038624801315977e-03
-2.008819035000000142e+00,8.911246349761580213e-03
-2.002250345000000209e+00,8.354293452901197931e-03
-1.995681655000000054e+00,7.128997079809263129e-03
-1.989112964999999900e+00,8.391423646025204103e-03
-1.982544274999999967e+00,9.022636929133598729e-03
-1.975975585000000034e+00,1.050784465409386123e-02
-1.969406895000000102e+00,1.080488619908591408e-02
-1.962838205000000169e+00,1.032219368847347996e-02
-1.956269515000000014e+00,1.058210504034187358e-02
-1.949700825000000082e+00,1.017367291597780221e-02
-1.943132134999999927e+00,1.061923523346552413e-02
-1.936563444999999994e+00,1.310695817277432278e-02
-1.929994755000000062e+00,1.024793330222581629e-02
-1.923426065000000129e+00,1.251287508278979381e-02
-1.916857374999999974e+00,1.262426566216223560e-02
-1.910288685000000042e+00,1.407234319399849366e-02
-1.903719994999999887e+00,1.425799415961804401e-02
-1.897151304999999955e+00,1.470355647710660553e-02
-1.890582615000000022e+00,1.418373377337051218e-02
-1.884013925000000089e+00,1.578033207770279667e-02
-1.877445235000000157e+00,1.607737362269430481e-02
-1.870876545000000002e+00,1.715414922329103892e-02
-1.864307855000000069e+00,1.804527385826719746e-02
-1.857739164999999915e+00,1.867648714137467789e-02
-1.851170474999999982e+00,1.930770042448342119e-02
-1.844601785000000049e+00,1.949335139010345205e-02
-1.838033095000000117e+00,1.975326274197083259e-02
-1.831464404999999962e+00,1.930770042448342119e-02
-1.824895715000000029e+00,1.964187216259948021e-02
-1.818327025000000097e+00,2.112707988755974445e-02
-1.811758334999999942e+00,2.179542336379112696e-02
-1.805189645000000009e+00,2.361480282686818227e-02
-1.798620955000000077e+00,2.257515741939599904e-02
-1.792052265000000144e+00,2.424601610997547535e-02
-1.785483574999999989e+00,2.439453688247232230e-02
-1.778914885000000057e+00,2.480296900683639366e-02
-1.772346194999999902e+00,2.862737889860810306e-02
-1.765777504999999969e+00,2.962989411295724809e-02
-1.759208815000000037e+00,3.141214338290956171e-02
-1.752640125000000104e+00,3.130075280353648848e-02
-1.746071434999999950e+00,3.367708516347397291e-02
-1.739502745000000017e+00,3.363995497034995980e-02
-1.732934055000000084e+00,3.434542863970608401e-02
-1.726365364999999930e+00,3.709306293088131951e-02
-1.719796674999999997e+00,3.638758926152644430e-02
-1.713227985000000064e+00,3.842974988334681152e-02
-1.706659295000000132e+00,4.114025398139789513e-02
-1.700090604999999977e+00,4.062043127766319650e-02
-1.693521915000000044e+00,3.876392162146286707e-02
-1.686953224999999890e+00,3.991495760830572614e-02
-1.680384534999999957e+00,4.088034262953124665e-02
-1.673815845000000024e+00,4.489040348692395488e-02
-1.667247155000000092e+00,4.381362788632776201e-02
-1.660678465000000159e+00,4.407353923819432029e-02
-1.654109775000000004e+00,4.359084672758372497e-02
-1.647541085000000072e+00,4.489040348692395488e-02
-1.640972394999999917e+00,4.808360009558689668e-02
-1.634403704999999984e+00,5.109114573863304809e-02
-1.627835015000000052e+00,5.268774404296533431e-02
-1.621266325000000119e+00,5.246496288421952092e-02
-1.614697634999999964e+00,5.183374960111318541e-02
-1.608128945000000032e+00,5.369025925731351484e-02
-1.601560254999999877e+00,5.224218172547549083e-02
-1.594991564999999945e+00,5.885135610155042829e-02
-1.588422875000000012e+00,5.732901818346615441e-02
-1.581854185000000079e+00,6.260150560707508638e-02
-1.575285495000000147e+00,6.419810391140520767e-02
-1.568716804999999992e+00,6.449514545639943586e-02
-1.562148115000000059e+00,6.609174376073170820e-02
-1.555579424999999905e+00,6.661156646446554641e-02
-1.549010734999999972e+00,6.679721743008783241e-02
-1.542442045000000039e+00,7.069588770810852907e-02
-1.535873355000000107e+00,6.958198191438597080e-02
-1.529304664999999952e+00,7.622828648358551118e-02
-1.522735975000000019e+00,7.381482393052507529e-02
-1.516167285000000087e+00,7.734219227730571022e-02
-1.509598594999999932e+00,7.659958841482299163e-02
-1.503029904999999999e+00,7.830757729852988458e-02
