# x,y,dx,dy
8.107336163520812988e-01,-9.926435947418212891e-01,9.998474044623674173e-01,-1.746391488020303251e-02
8.107336163520812988e-01,-9.864064455032348633e-01,9.991685359443244208e-01,-3.587240765651150687e-02
8.107336163520812988e-01,-9.748811125755310059e-01,9.885168513412476710e-01,-1.340551851456681098e-01
8.107336163520812988e-01,-9.535841345787048340e-01,9.891886196658268293e-01,-5.179183984881015335e-02
8.107336163520812988e-01,-9.142304062843322754e-01,4.794213129683710939e-01,-1.961367795463661579e-01
8.107336163520812988e-01,-8.415106534957885742e-01,8.724405032217025235e-01,6.762925647461456857e-02
8.107336163520812988e-01,-7.071355581283569336e-01,5.743781656128521540e-01,-7.653485708520172404e-01
8.107336163520812988e-01,-4.588304758071899414e-01,9.232487482980505922e-01,-3.268456175136194020e-01
8.107336163520812988e-01,0.000000000000000000e+00,8.105348088487309699e-01,2.927343431623313785e-01
1.621467232704162598e+00,-9.998999834060668945e-01,9.893839641633828119e-01,-1.016536552332927834e-01
1.621467232704162598e+00,-9.998152256011962891e-01,9.887693046194550028e-01,-1.088327957213656716e-01
1.621467232704162598e+00,-9.996585249900817871e-01,9.878014410435688175e-01,-1.208079226763264791e-01
1.621467232704162598e+00,-9.993690252304077148e-01,9.873171229577102359e-01,-1.352353225572432704e-01
1.621467232704162598e+00,-9.988340735435485840e-01,9.911040067936015552e-01,-1.246084852649654018e-01
1.621467232704162598e+00,-9.978455901145935059e-01,9.982396966571515096e-01,-5.772844564229961256e-02
1.621467232704162598e+00,-9.960189461708068848e-01,9.998503262687464810e-01,-1.517987359356865254e-02
1.621467232704162598e+00,-9.926435947418212891e-01,9.998174155461142520e-01,-1.827570108928275663e-02
1.621467232704162598e+00,-9.864064455032348633e-01,9.992335914561857324e-01,-3.791840885645388765e-02
1.621467232704162598e+00,-9.748811125755310059e-01,9.915513372481722376e-01,-1.170717170531590801e-01
1.621467232704162598e+00,-9.535841345787048340e-01,9.603757894309078447e-01,-2.007660820532367607e-01
1.621467232704162598e+00,-9.142304062843322754e-01,9.864701312883382700e-01,-1.377821406184756847e-01
1.621467232704162598e+00,-8.415106534957885742e-01,9.366510533187900611e-01,-2.093696362211431017e-01
1.621467232704162598e+00,-7.071355581283569336e-01,5.414926975174026991e-01,2.035398439699856454e-01
1.621467232704162598e+00,-4.588304758071899414e-01,-4.240757695706853792e-01,-7.841048815344331402e-01
1.621467232704162598e+00,0.000000000000000000e+00,7.214536995695043364e-01,-3.353846692127472884e-01
2.432200670242309570e+00,-9.998999834060668945e-01,9.878864951745407463e-01,-1.284649220660827873e-01
2.432200670242309570e+00,-9.998152256011962891e-01,9.867318893281683545e-01,-1.399481683275025090e-01
2.432200670242309570e+00,-9.996585249900817871e-01,9.840691427053769313e-01,-1.619854068673180214e-01
2.432200670242309570e+00,-9.993690252304077148e-01,9.782402835532751917e-01,-1.988225885489217359e-01
2.432200670242309570e+00,-9.988340735435485840e-01,9.765711217270369726e-01,-2.074951209746484226e-01
2.432200670242309570e+00,-9.978455901145935059e-01,9.936813909264973210e-01,-9.766343689538474482e-02
2.432200670242309570e+00,-9.960189461708068848e-01,9.996906700645468158e-01,-2.471230238203977331e-02
2.432200670242309570e+00,-9.926435947418212891e-01,9.999433779978451620e-01,-8.796590753323847711e-03
2.432200670242309570e+00,-9.864064455032348633e-01,9.992326874017928295e-01,-3.910838423712897222e-02
2.432200670242309570e+00,-9.748811125755310059e-01,9.943397012696895132e-01,-9.674714138030274246e-02
2.432200670242309570e+00,-9.535841345787048340e-01,9.881979033958830927e-01,-1.338174957539458032e-01
2.432200670242309570e+00,-9.142304062843322754e-01,9.885994470078571794e-01,-1.230221529569201916e-01
2.432200670242309570e+00,-8.415106534957885742e-01,5.033155952475246719e-01,4.429421934889286594e-01
2.432200670242309570e+00,-7.071355581283569336e-01,1.935836098379374037e-01,-5.386820741508494548e-01
2.432200670242309570e+00,-4.588304758071899414e-01,8.882717513245819152e-01,-4.484414504986986016e-01
2.432200670242309570e+00,0.000000000000000000e+00,6.221022395516466741e-01,1.686687654715091356e-01
3.242934465408325195e+00,-9.998999834060668945e-01,9.954455161884382397e-01,-9.303345265634230254e-02
3.242934465408325195e+00,-9.998152256011962891e-01,9.948484556485124308e-01,-9.841622780569697637e-02
3.242934465408325195e+00,-9.996585249900817871e-01,9.937670584778155458e-01,-1.074272538040335345e-01
3.242934465408325195e+00,-9.993690252304077148e-01,9.922637729839510756e-01,-1.191061124810245120e-01
3.242934465408325195e+00,-9.988340735435485840e-01,9.927953243269218575e-01,-1.180697549124835044e-01
3.242934465408325195e+00,-9.978455901145935059e-01,9.963224962761672021e-01,-7.753893678395143430e-02
3.242934465408325195e+00,-9.960189461708068848e-01,9.993608591624351112e-01,-2.199203959388646573e-02
3.242934465408325195e+00,-9.926435947418212891e-01,9.998775587200243731e-01,-1.543536863843347762e-02
3.242934465408325195e+00,-9.864064455032348633e-01,9.981378849329693992e-01,-4.725724323631855933e-02
3.242934465408325195e+00,-9.748811125755310059e-01,9.798852948070415625e-01,-1.995180095312570068e-01
3.242934465408325195e+00,-9.535841345787048340e-01,9.823492905208821568e-01,-1.314525560069967347e-01
3.242934465408325195e+00,-9.142304062843322754e-01,3.767845478213119326e-01,-4.733896903733058603e-01
3.242934465408325195e+00,-8.415106534957885742e-01,9.258556360854129919e-01,-3.329396064626994334e-01
3.242934465408325195e+00,-7.071355581283569336e-01,4.952848770365917419e-01,2.890637103543564623e-01
3.242934465408325195e+00,-4.588304758071899414e-01,9.454375225431871366e-01,-2.551938413813072959e-01
