# x,y,dx,dy
8.107336044311523438e+00,-4.588304758071899414e-01,-2.585412150641566154e-01,9.461359384311972542e-01
8.107336044311523438e+00,0.000000000000000000e+00,3.102988528583289218e-01,-1.199683802779146630e-01
8.918069839477539062e+00,-9.998999834060668945e-01,-9.645708551413054721e-01,1.179656665020017980e-01
8.918069839477539062e+00,-9.998152256011962891e-01,-9.594243328985092578e-01,1.615761781130772567e-01
8.918069839477539062e+00,-9.996585249900817871e-01,-7.902418048417152452e-01,5.832155609948673769e-01
8.918069839477539062e+00,-9.993690252304077148e-01,9.732439366200610342e-01,9.310011276265842128e-02
8.918069839477539062e+00,-9.988340735435485840e-01,9.823831768009935184e-01,7.654200535436350532e-03
8.918069839477539062e+00,-9.978455901145935059e-01,9.890820072322933365e-01,-2.244717661607791015e-02
8.918069839477539062e+00,-9.960189461708068848e-01,9.946289831802193060e-01,-5.245087845288058659e-02
8.918069839477539062e+00,-9.926435947418212891e-01,8.762882221408557770e-01,-4.582647954031519033e-01
8.918069839477539062e+00,-9.864064455032348633e-01,-9.775281464220820782e-01,-2.066047436052638464e-01
8.918069839477539062e+00,-9.748811125755310059e-01,9.828641090964055360e-01,1.703457401877112032e-01
8.918069839477539062e+00,-9.535841345787048340e-01,5.489312970783504220e-01,-5.372836070441477929e-01
8.918069839477539062e+00,-9.142304062843322754e-01,5.907375227930167227e-01,5.873912059621221315e-01
8.918069839477539062e+00,-8.415106534957885742e-01,-2.993226200525054836e-01,6.922391465699613278e-01
8.918069839477539062e+00,-7.071355581283569336e-01,-3.390197506037259112e-01,-3.400714867082874071e-01
8.918069839477539062e+00,-4.588304758071899414e-01,6.180798443333557213e-01,-3.335290850270574703e-01
8.918069839477539062e+00,0.000000000000000000e+00,9.453619357035972226e-02,-9.924472036722695734e-01
9.728802680969238281e+00,-9.998999834060668945e-01,8.727147739788752023e-01,4.491068650618670888e-01
9.728802680969238281e+00,-9.998152256011962891e-01,9.282418441388546881e-01,3.129160244838604110e-01
9.728802680969238281e+00,-9.996585249900817871e-01,9.576847891120552347e-01,2.032380622822437810e-01
9.728802680969238281e+00,-9.993690252304077148e-01,9.707163613656866197e-01,1.281071601336456200e-01
9.728802680969238281e+00,-9.988340735435485840e-01,9.749202504001116543e-01,7.906007838689424472e-02
9.728802680969238281e+00,-9.978455901145935059e-01,9.708388406348515964e-01,3.540620717411190749e-02
9.728802680969238281e+00,-9.960189461708068848e-01,9.508083142318530800e-01,-1.307593676081553191e-01
9.728802680969238281e+00,-9.926435947418212891e-01,9.982742199120236970e-01,-5.680566295685263167e-02
9.728802680969238281e+00,-9.864064455032348633e-01,4.700603829725068517e-01,-4.781866994520350134e-01
9.728802680969238281e+00,-9.748811125755310059e-01,3.107488945437316130e-01,-2.401014541474092434e-01
9.728802680969238281e+00,-9.535841345787048340e-01,-7.008341426733585289e-01,5.309963830589120581e-01
9.728802680969238281e+00,-9.142304062843322754e-01,1.747281668168673141e-01,-2.420561819586036778e-01
9.728802680969238281e+00,-8.415106534957885742e-01,-9.217313436327980725e-01,2.432796932658525535e-01
9.728802680969238281e+00,-7.071355581283569336e-01,8.813542169755711475e-01,9.909526901092734208e-02
9.728802680969238281e+00,-4.588304758071899414e-01,-2.421893782077631507e-01,3.099861317134883221e-01
9.728802680969238281e+00,0.000000000000000000e+00,-9.546708772613744787e-02,-9.697521755921256759e-01
1.053953647613525391e+01,-9.998999834060668945e-01,8.830957695266085095e-01,3.377557743327988526e-02
1.053953647613525391e+01,-9.998152256011962891e-01,8.876585235669818275e-01,2.672860115870982420e-02
1.053953647613525391e+01,-9.996585249900817871e-01,8.958434328558064763e-01,1.613474014360247177e-02
1.053953647613525391e+01,-9.993690252304077148e-01,9.104021625167243448e-01,2.747518498172107308e-03
1.053953647613525391e+01,-9.988340735435485840e-01,9.359613613541523103e-01,-8.115824264519984690e-03
1.053953647613525391e+01,-9.978455901145935059e-01,9.756625898215174342e-01,2.685560405059036690e-03
1.053953647613525391e+01,-9.960189461708068848e-01,9.966857276337524052e-01,7.642581888757767061e-02
1.053953647613525391e+01,-9.926435947418212891e-01,-9.786856100334276887e-01,-2.231030036928256799e-02
1.053953647613525391e+01,-9.864064455032348633e-01,-9.571204620773438032e-01,1.949529551796646831e-01
1.053953647613525391e+01,-9.748811125755310059e-01,-9.685765228060013721e-01,-2.470386133178072707e-01
1.053953647613525391e+01,-9.535841345787048340e-01,-9.024208115216646453e-01,4.069060641605104500e-01
1.053953647613525391e+01,-9.142304062843322754e-01,6.035692269206910376e-01,4.658369890056475726e-01
1.053953647613525391e+01,-8.415106534957885742e-01,3.046749251654226054e-01,-6.715724552171428163e-01
1.053953647613525391e+01,-7.071355581283569336e-01,8.490609159138161610e-01,-2.292261099070661279e-01
1.053953647613525391e+01,-4.588304758071899414e-01,-1.763598904745969920e-01,-7.936909954293737135e-01
1.053953647613525391e+01,0.000000000000000000e+00,-5.392868846484979439e-01,1.144185983255477657e-01
1.135027027130126953e+01,-9.998999834060668945e-01,9.999214697950236097e-01,-3.324034135700311247e-03
1.135027027130126953e+01,-9.998152256011962891e-01,9.999714807912394310e-01,-2.100943487246622905e-04
1.135027027130126953e+01,-9.996585249900817871e-01,9.999844652990015348e-01,5.572670941866752180e-03
1.135027027130126953e+01,-9.993690252304077148e-01,9.998050658266177670e-01,1.555251160409452417e-02
1.135027027130126953e+01,-9.988340735435485840e-01,9.991592374035881408e-01,2.904909742465137251e-02
1.135027027130126953e+01,-9.978455901145935059e-01,9.979653972893117730e-01,3.975837224003362508e-02
1.135027027130126953e+01,-9.960189461708068848e-01,9.953356855830832739e-01,4.572378501031433562e-02
1.135027027130126953e+01,-9.926435947418212891e-01,9.794660971902371394e-01,6.082523169522453810e-02
1.135027027130126953e+01,-9.864064455032348633e-01,9.713825862133942390e-01,-1.385807541179044089e-01
1.135027027130126953e+01,-9.748811125755310059e-01,-8.838841712721215993e-01,-3.253022314129240256e-01
1.135027027130126953e+01,-9.535841345787048340e-01,-8.224425886421332654e-01,-2.443732031393033022e-01
1.135027027130126953e+01,-9.142304062843322754e-01,5.027732351019241763e-01,1.489626205395834790e-01
1.135027027130126953e+01,-8.415106534957885742e-01,-8.592512863413342972e-01,-5.110231180387746486e-01
1.135027027130126953e+01,-7.071355581283569336e-01,4.872559743867724280e-02,-9.714605268648539571e-01
1.135027027130126953e+01,-4.588304758071899414e-01,1.868591227748770322e-03,-2.491034443992074521e-01
1.135027027130126953e+01,0.000000000000000000e+00,7.684377070252740305e-01,2.043088441144584877e-01
1.216100406646728516e+01,-9.998999834060668945e-01,9.750278498473378130e-01,1.990362759767166090e-01
1.216100406646728516e+01,-9.998152256011962891e-01,9.689474659459758055e-01,2.359090737230654655e-01
1.216100406646728516e+01,-9.996585249900817871e-01,9.409814875154803859e-01,3.367001058702897009e-01
1.216100406646728516e+01,-9.993690252304077148e-01,-6.917528166009359603e-02,9.970466575804056708e-01
1.216100406646728516e+01,-9.988340735435485840e-01,-9.905236874643035261e-01,-6.067546004785628194e-02
1.216100406646728516e+01,-9.978455901145935059e-01,-9.695588447539864596e-01,-1.606851608400039766e-01
1.216100406646728516e+01,-9.960189461708068848e-01,-9.786987130304060090e-01,-7.873738470201013806e-02
1.216100406646728516e+01,-9.926435947418212891e-01,-9.495580157550737033e-01,2.269553019379708103e-01
1.216100406646728516e+01,-9.864064455032348633e-01,7.092873841855811268e-01,2.840608368259997518e-01
1.216100406646728516e+01,-9.748811125755310059e-01,-5.235825527416325675e-01,8.018958047815706314e-01
1.216100406646728516e+01,-9.535841345787048340e-01,8.357528956455016755e-02,-8.678090334441572740e-01
1.216100406646728516e+01,-9.142304062843322754e-01,9.420804399420675823e-01,1.776054469604484154e-01
1.216100406646728516e+01,-8.415106534957885742e-01,5.080818678477696526e-01,2.758949976411523286e-01
1.216100406646728516e+01,-7.071355581283569336e-01,-1.781412034813775191e-01,1.738009315746807115e-01
1.216100406646728516e+01,-4.588304758071899414e-01,-1.275382465784101749e-01,3.673495363420841708e-01
1.216100406646728516e+01,0.000000000000000000e+00,-2.223766797347390967e-01,-8.118856555188126434e-01
1.297173786163330078e+01,-9.998999834060668945e-01,-9.293442142601757716e-01,-9.411447976175370267e-02
1.297173786163330078e+01,-9.998152256011962891e-01,-9.317338974343357672e-01,-8.763966692440003370e-02
1.297173786163330078e+01,-9.996585249900817871e-01,-9.359080811030364710e-01,-7.938856947887366899e-02
1.297173786163330078e+01,-9.993690252304077148e-01,-9.431133133952630532e-01,-7.284178250112689768e-02
1.297173786163330078e+01,-9.988340735435485840e-01,-9.549254625976180133e-01,-7.838661282294330512e-02
1.297173786163330078e+01,-9.978455901145935059e-01,-9.678370140942428312e-01,-1.378771798906666401e-01
1.297173786163330078e+01,-9.960189461708068848e-01,-8.940876825425296826e-01,-4.450485261809460913e-01
1.297173786163330078e+01,-9.926435947418212891e-01,9.999782782767947520e-01,-1.213900938300553753e-03
1.297173786163330078e+01,-9.864064455032348633e-01,9.525823305164103916e-01,-1.435275461217941362e-01
1.297173786163330078e+01,-9.748811125755310059e-01,9.470985534181073362e-01,-3.165139904660174697e-01
1.297173786163330078e+01,-9.535841345787048340e-01,8.618789548105766363e-01,-5.189582394879571625e-02
1.297173786163330078e+01,-9.142304062843322754e-01,2.527030550173161583e-01,3.140546173651076467e-01
1.297173786163330078e+01,-8.415106534957885742e-01,-7.270362236686919166e-01,6.307589622908619242e-01
1.297173786163330078e+01,-7.071355581283569336e-01,4.157617732614340422e-01,-8.984798277952782408e-01
1.297173786163330078e+01,-4.588304758071899414e-01,-3.583354839249954238e-01,-2.695336837787405959e-01
1.297173786163330078e+01,0.000000000000000000e+00,7.844164825303348021e-01,1.590693388925180640e-01
1.378247070312500000e+01,-9.998999834060668945e-01,-7.961556927865793831e-01,4.266407622451069415e-01
1.378247070312500000e+01,-9.998152256011962891e-01,-7.858502575124368672e-01,4.580325036628568602e-01
1.378247070312500000e+01,-9.996585249900817871e-01,-7.516959192782186605e-01,5.363850571472220663e-01
1.378247070312500000e+01,-9.993690252304077148e-01,-4.198783911226919852e-01,8.826302165078191431e-01
1.378247070312500000e+01,-9.988340735435485840e-01,9.232752937169419472e-01,-1.544115854442487112e-01
1.378247070312500000e+01,-9.978455901145935059e-01,6.430927894037121728e-01,-7.392194121702615472e-01
1.378247070312500000e+01,-9.960189461708068848e-01,-9.280632547293448109e-01,-3.636463884072156927e-01
1.378247070312500000e+01,-9.926435947418212891e-01,-9.675739752416396833e-01,-1.587089389175820875e-01
