# value,p_j_0_0,p_j_0_1,p_j_0_2,p_j_1_0,p_j_1_1,p_j_1_2,p_j_2_0,p_j_2_1,p_j_2_2
-2.335937500000000000e+00,8.672699498033331622e-02,8.556716438273810621e-02,8.460215798436961088e-02,8.542063089283094546e-02,8.543772358073935258e-02,8.404523210377548570e-02,8.759894721264531448e-02,8.511331190612994591e-02,8.526259122952505043e-02
-1.976562500000000000e+00,9.620337342690811477e-02,9.212845719633482033e-02,9.141049289612111772e-02,9.171252203138169357e-02,9.452351773603875906e-02,8.898915634409752806e-02,9.380165983069989333e-02,9.144400020002499407e-02,9.528454844326481044e-02
-1.617187500000000000e+00,1.056656310611743810e-01,9.811275218897988482e-02,9.696295942249684441e-02,9.718834775337004128e-02,1.044469430346594840e-01,9.365725066449917535e-02,9.952441980255097298e-02,9.743228043623441970e-02,1.046388872787813173e-01
-1.257812500000000000e+00,1.155402277566885266e-01,1.033071896190915218e-01,1.011674053414979707e-01,1.011996953889281042e-01,1.143210506348739108e-01,9.743987321687293257e-02,1.042258427159750145e-01,1.016686302673169284e-01,1.133264324055434785e-01
-8.984375000000000000e-01,1.237535531584364606e-01,1.073890902208645970e-01,1.054836386077896426e-01,1.037399606855964607e-01,1.220376237751104459e-01,1.008997852429587699e-01,1.072820351149556123e-01,1.060594274750190497e-01,1.218086736612205845e-01
-5.390625000000000000e-01,1.313855853281936936e-01,1.101093485113708303e-01,1.075627941224509970e-01,1.064733457439400177e-01,1.301155034743266548e-01,1.031141875122049828e-01,1.093525919336320179e-01,1.094030963857308275e-01,1.293001619570576521e-01
-1.796875000000000000e-01,1.371712004286027575e-01,1.124922865770674740e-01,1.081714630060006815e-01,1.075710266657567554e-01,1.367527931119782714e-01,1.039767309972756959e-01,1.114517115024790533e-01,1.106953599363206253e-01,1.353569589401937001e-01
1.796875000000000000e-01,1.420040796388102322e-01,1.120617093186921653e-01,1.078373288254642626e-01,1.074273892923637702e-01,1.411010164566194325e-01,1.048331133207539984e-01,1.113525920710865535e-01,1.110718081641588334e-01,1.394030942086295355e-01
5.390625000000000000e-01,1.427743515711699107e-01,1.111563378580784356e-01,1.070154217719684608e-01,1.064716096025262460e-01,1.438303516480097244e-01,1.036201167060596534e-01,1.099261800176475901e-01,1.100579027962470258e-01,1.411296675320913852e-01
8.984375000000000000e-01,1.427235656823252208e-01,1.084338096908170068e-01,1.042468598874741886e-01,1.042578081985004596e-01,1.430149980985760960e-01,1.011756237427040989e-01,1.071214709670824938e-01,1.075019194056519856e-01,1.408599839712177393e-01
