# distance__t_0.0,pdf__t_0.0,distance__t_2.499,pdf__t_2.499,distance__t_4.998,pdf__t_4.998,distance__t_7.5,pdf__t_7.5,distance__t_9.999,pdf__t_9.999
1.880945499999999923e-02,0.000000000000000000e+00,1.336420179999999958e+00,6.738021266040988833e-01,1.881869164999999899e+00,5.013459494327574539e-01,2.073840105000000378e+00,5.952651678107077071e-01,2.494025415000000301e+00,3.596537748339501683e-01
1.880946499999999744e-02,0.000000000000000000e+00,1.364682139999999766e+00,6.565251489988708222e-01,1.920826794999999976e+00,3.885431108103847841e-01,2.116494415000000018e+00,4.350014687847524875e-01,2.542900545000000179e+00,4.096056880053321470e-01
1.880947499999999911e-02,0.000000000000000000e+00,1.392944099999999796e+00,6.392481713936323251e-01,1.959784425000000052e+00,4.512113544894790773e-01,2.159148724999999658e+00,4.006592475648994567e-01,2.591775675000000057e+00,4.695479838109862802e-01
1.880948500000000079e-02,0.000000000000000000e+00,1.421206059999999827e+00,4.664783953412992568e-01,1.998742055000000128e+00,3.384085158671112370e-01,2.201803035000000186e+00,4.693436900045965254e-01,2.640650805000000378e+00,3.496633921996737948e-01
1.880949499999999899e-02,0.000000000000000000e+00,1.449468019999999857e+00,6.219711937883990460e-01,2.037699684999999761e+00,4.637450032252979359e-01,2.244457344999999826e+00,4.006592475648994567e-01,2.689525935000000256e+00,3.196922442968446187e-01
1.880950500000000067e-02,0.000000000000000000e+00,1.477729979999999887e+00,5.183093281569991495e-01,2.076657315000000281e+00,3.760094620745659255e-01,2.287111654999999910e+00,3.548696192717717968e-01,2.738401065000000134e+00,4.795383664452669281e-01
1.880951499999999887e-02,0.000000000000000000e+00,1.505991939999999918e+00,4.146474625255993085e-01,2.115614944999999913e+00,3.885431108103847841e-01,2.329765964999999994e+00,3.777644334183337671e-01,2.787276195000000456e+00,3.496633921996706307e-01
1.880952500000000055e-02,0.000000000000000000e+00,1.534253899999999948e+00,3.282625744994328021e-01,2.154572575000000434e+00,3.258748671312904355e-01,2.372420274999999634e+00,4.121066546381823015e-01,2.836151325000000334e+00,3.496633921996737948e-01
1.880953500000000223e-02,0.000000000000000000e+00,1.562515859999999979e+00,3.973704849203691380e-01,2.193530205000000066e+00,3.258748671312904355e-01,2.415074585000000162e+00,3.205273980519195431e-01,2.885026455000000212e+00,2.397691832226334641e-01
1.880954500000000043e-02,0.000000000000000000e+00,1.590777819999999787e+00,3.455395521046661367e-01,2.232487835000000587e+00,3.885431108103847841e-01,2.457728894999999802e+00,3.434222121984852327e-01,2.933901585000000090e+00,2.997114790282918162e-01
1.880955499999999864e-02,0.000000000000000000e+00,1.619039779999999817e+00,2.418776864732662679e-01,2.271445465000000219e+00,3.885431108103892250e-01,2.500383205000000331e+00,3.205273980519195431e-01,2.982776714999999967e+00,2.597499484911838796e-01
1.880956500000000031e-02,0.000000000000000000e+00,1.647301739999999848e+00,3.455395521046661367e-01,2.310403094999999851e+00,2.757402721880150009e-01,2.543037514999999971e+00,2.289481414656591995e-01,3.031651845000000289e+00,2.397691832226334641e-01
1.880957500000000199e-02,0.000000000000000000e+00,1.675563699999999878e+00,4.146474625255993085e-01,2.349360725000000372e+00,2.381393259805584250e-01,2.585691824999999611e+00,2.861851768320710088e-01,3.080526975000000167e+00,2.497595658569098653e-01
1.880958500000000019e-02,0.000000000000000000e+00,1.703825659999999909e+00,4.492014177360659222e-01,2.388318355000000004e+00,3.133412183954715768e-01,2.628346135000000139e+00,2.518429556122225299e-01,3.129402105000000489e+00,1.898172700512497646e-01
1.880959499999999840e-02,0.000000000000000000e+00,1.732087619999999939e+00,3.973704849203660294e-01,2.427275985000000524e+00,2.381393259805584250e-01,2.671000444999999779e+00,2.861851768320710088e-01,3.178277235000000367e+00,1.698365047826987106e-01
1.880960500000000007e-02,0.000000000000000000e+00,1.760349579999999747e+00,3.282625744994354111e-01,2.466233615000000157e+00,2.381393259805584250e-01,2.713654755000000307e+00,1.831585131725254612e-01,3.227152365000000245e+00,2.497595658569098653e-01
1.880961500000000175e-02,0.000000000000000000e+00,1.788611539999999778e+00,3.109855968941995230e-01,2.505191245000000233e+00,2.130720285089231225e-01,2.756309064999999947e+00,2.289481414656591995e-01,3.276027495000000123e+00,1.598461221484223094e-01
