# value,p_j_0_0,p_j_0_1,p_j_0_2,p_j_1_0,p_j_1_1,p_j_1_2,p_j_2_0,p_j_2_1,p_j_2_2
3.234375000000000000e+00,9.067555327778856200e-02,7.162558287512230115e-02,7.005887562696598569e-02,7.051248551507194318e-02,8.110235098000587173e-02,6.889676107806701200e-02,7.059843201392319856e-02,7.086135787301763023e-02,7.909858976017383747e-02
3.953125000000000000e+00,6.268954088069920993e-02,5.851467769086423493e-02,5.824599007085450031e-02,5.811340500750987459e-02,5.619639776397755693e-02,5.804603327417735131e-02,5.610565793832597570e-02,5.826784179757533294e-02,5.549349597728029521e-02
4.671875000000000000e+00,3.883047652543920869e-02,4.591674910121257974e-02,4.655832590269230048e-02,4.636121744743729178e-02,3.496739091827280599e-02,4.795785943266347301e-02,4.480070590920365997e-02,4.670059841304381731e-02,3.506160663876816547e-02
5.390625000000000000e+00,2.206270039838724786e-02,3.554037851227331846e-02,3.615547483154638031e-02,3.632592238386008615e-02,1.971969197111488742e-02,3.843612374240769347e-02,3.519249821251711069e-02,3.651803186646351840e-02,2.099194185742249419e-02
6.109375000000000000e+00,1.118311533708801417e-02,2.645214104896050772e-02,2.837176715153980414e-02,2.803446395456396512e-02,1.013806530294242281e-02,3.058297066659949881e-02,2.669142960368181897e-02,2.767177232721840241e-02,1.130971421031833068e-02
6.828125000000000000e+00,5.393722597323973370e-03,1.949116857902152833e-02,2.164287434816428157e-02,2.097807831088740679e-02,4.931691885976027985e-03,2.395356550593567141e-02,1.994068792358626163e-02,2.059945633438023394e-02,5.412799349462838264e-03
7.546875000000000000e+00,2.553570862435522535e-03,1.410406989288369266e-02,1.615446214223599866e-02,1.536427389222764540e-02,2.270412153010576296e-03,1.807259981400095167e-02,1.446363536495737581e-02,1.543319723625199806e-02,2.364077752104105576e-03
8.265625000000000000e+00,1.133220767016005718e-03,1.046962278209815495e-02,1.205077615247071576e-02,1.117960683167717670e-02,1.010577027299716440e-03,1.346369437749618710e-02,1.045724123983595051e-02,1.132684451411911271e-02,9.501193219099954334e-04
8.984375000000000000e+00,5.404775655990941806e-04,7.531474903722359775e-03,8.699251485816046972e-03,7.857037857756887095e-03,4.207332660238148592e-04,1.002657101052053731e-02,7.583527809795365809e-03,8.408305286949187968e-03,3.989601365626596337e-04
9.703125000000000000e+00,2.108848066136815235e-04,5.448552757581441759e-03,6.420533690088060449e-03,5.645932612111071239e-03,1.457000936562236905e-04,7.269828725885334360e-03,5.126025079252386971e-03,6.124601987850321859e-03,1.074182889129732374e-04
1.042187500000000000e+01,7.629108197313776922e-05,3.691999329010674669e-03,4.708033566464755668e-03,3.964318198104209781e-03,4.040237841670934869e-05,5.305377636753028786e-03,3.657691083511561188e-03,4.401787641678322344e-03,3.307988600696242437e-05
1.114062500000000000e+01,3.713040958419735392e-05,2.460288255261016029e-03,3.319127316659627180e-03,2.913424804221366980e-03,2.040680944949989416e-05,3.701504212016572259e-03,2.634152749740336502e-03,3.315266737463779586e-03,1.347517312241954969e-05
