# log(rho), p(log(rho))
9.749684627992802888e-01,7.283157400058536124e-02
9.887978026971424583e-01,7.282574715584516634e-02
1.002627142595004628e+00,7.255338013062920255e-02
1.016456482492866797e+00,7.158044026929882842e-02
1.030285822390728967e+00,7.114823721333655981e-02
1.044115162288591137e+00,7.064243264836478353e-02
1.057944502186453306e+00,7.040048330052262049e-02
1.071773842084315476e+00,7.015877339608184160e-02
1.085603181982177645e+00,7.039103477015659638e-02
1.099432521880039815e+00,7.028592078260083309e-02
1.113261861777901984e+00,6.963515718397621235e-02
1.127091201675764154e+00,6.911393500233378728e-02
1.140920541573626323e+00,6.899537548018580546e-02
1.154749881471488049e+00,6.874745809926807727e-02
1.168579221369350218e+00,6.812603441551608185e-02
1.182408561267212388e+00,6.813545674782310602e-02
1.196237901165074557e+00,6.832005621096634562e-02
1.210067241062936727e+00,6.776746143734900529e-02
1.223896580960798897e+00,6.741713025369348855e-02
1.237725920858661066e+00,6.706176385037443399e-02
1.251555260756523236e+00,6.670400555801958564e-02
1.265384600654385405e+00,6.620873994530210305e-02
1.279213940552247575e+00,6.543811131318250096e-02
1.293043280450109744e+00,6.521495469364743669e-02
1.306872620347971914e+00,6.469219184718824622e-02
1.320701960245834083e+00,6.420308972079707965e-02
1.334531300143695809e+00,6.365613166926301081e-02
1.348360640041557978e+00,6.303609159154842378e-02
1.362189979939420148e+00,6.275091487313022576e-02
1.376019319837282318e+00,6.164588880876033239e-02
1.389848659735144487e+00,6.127513504549133433e-02
1.403677999633006657e+00,6.063014688515801220e-02
1.417507339530868826e+00,6.011221024673597813e-02
1.431336679428730996e+00,5.951918544255725696e-02
1.445166019326593165e+00,5.939481763550137627e-02
1.458995359224455335e+00,5.906374273193315538e-02
1.472824699122317504e+00,5.811478855566570845e-02
1.486654039020179674e+00,5.776812742759729336e-02
1.500483378918041844e+00,5.721382711094290946e-02
1.514312718815904013e+00,5.637980354965019258e-02
1.528142058713765739e+00,5.634097542648076884e-02
1.541971398611627908e+00,5.589797782466175702e-02
1.555800738509490078e+00,5.565489326982978741e-02
1.569630078407352247e+00,5.540588537733781571e-02
1.583459418305214417e+00,5.495297593837934758e-02
1.597288758203076586e+00,5.469748414015573185e-02
1.611118098100938756e+00,5.375722587285682030e-02
1.624947437998800925e+00,5.327880036223998916e-02
1.638776777896663095e+00,5.293152496831619869e-02
1.652606117794525264e+00,5.216946405236444484e-02
1.666435457692387434e+00,5.146361600250717871e-02
1.680264797590249604e+00,5.075185507487565972e-02
1.694094137488111773e+00,5.050473018936618708e-02
1.707923477385973499e+00,5.039172974067473998e-02
1.721752817283835668e+00,5.000620500822346159e-02
1.735582157181697838e+00,4.947798481975135276e-02
1.749411497079560007e+00,4.887631550265510161e-02
1.763240836977422177e+00,4.860550716011848016e-02
1.777070176875284346e+00,4.799303430145446248e-02
1.790899516773146516e+00,4.785152031625924257e-02
1.804728856671008685e+00,4.729082692558020384e-02
1.818558196568870855e+00,4.631708772142231756e-02
1.832387536466733025e+00,4.580639125272188694e-02
1.846216876364595194e+00,4.474670090331332728e-02
1.860046216262457364e+00,4.415311852450634622e-02
1.873875556160319533e+00,4.389894525815069004e-02
1.887704896058181703e+00,4.321360225191467341e-02
1.901534235956043872e+00,4.286102220810458774e-02
1.915363575853906042e+00,4.217672356434806757e-02
1.929192915751768211e+00,4.117846248534764997e-02
1.943022255649630381e+00,4.038329065781239013e-02
1.956851595547492551e+00,3.978637271160867517e-02
1.970680935445354720e+00,3.945262560378666461e-02
1.984510275343216001e+00,3.931975167451300102e-02
1.998339615241078171e+00,3.857366661591934281e-02
2.012168955138940341e+00,3.801864989404512424e-02
2.025998295036802510e+00,3.732366887322062510e-02
2.039827634934664680e+00,3.641282118641359089e-02
2.053656974832526849e+00,3.556066409389421062e-02
2.067486314730389019e+00,3.496616536765422695e-02
2.081315654628251188e+00,3.456836925820125361e-02
2.095144994526113358e+00,3.402776320761319306e-02
2.108974334423975527e+00,3.320857549743815029e-02
2.122803674321837697e+00,3.285487230877806586e-02
2.136633014219699866e+00,3.208825273250341670e-02
2.150462354117562036e+00,3.165055915058782865e-02
2.164291694015424206e+00,3.106951813204415769e-02
2.178121033913286375e+00,3.082192004768380400e-02
2.191950373811148545e+00,3.064016140987687112e-02
2.205779713709010714e+00,3.059005416985157572e-02
2.219609053606872884e+00,3.027023183964500791e-02
2.233438393504735053e+00,2.994671036831915434e-02
2.247267733402597223e+00,2.928360839861730847e-02
2.261097073300459392e+00,2.906923436432729685e-02
2.274926413198321562e+00,2.879206706165662183e-02
2.288755753096183732e+00,2.830752935631554446e-02
2.302585092994045901e+00,2.767979178774669646e-02
2.316414432891908071e+00,2.731544377483325486e-02
2.330243772789770240e+00,2.708317102313778993e-02
2.344073112687632410e+00,2.657465621490263247e-02
2.357902452585493691e+00,2.571934802106897247e-02
2.371731792483355861e+00,2.539688286750284296e-02
2.385561132381218030e+00,2.527278260236242441e-02
2.399390472279080200e+00,2.474152257232188623e-02
2.413219812176942369e+00,2.406383000256267016e-02
2.427049152074804539e+00,2.351529046275146681e-02
2.440878491972666708e+00,2.336778606652607088e-02
2.454707831870528878e+00,2.301298866588633030e-02
2.468537171768391048e+00,2.258227267713892525e-02
2.482366511666253217e+00,2.208272265897340964e-02
2.496195851564115387e+00,2.198294087117320245e-02
2.510025191461977556e+00,2.201589636461910929e-02
2.523854531359839726e+00,2.136580190390659911e-02
2.537683871257701895e+00,2.077959500050888253e-02
2.551513211155564065e+00,2.079717358336790126e-02
2.565342551053426234e+00,2.047376818011772265e-02
2.579171890951288404e+00,2.014923274398031094e-02
2.593001230849150573e+00,1.968222332675061137e-02
2.606830570747012743e+00,1.948200868308255784e-02
2.620659910644874913e+00,1.900690878156955504e-02
2.634489250542737082e+00,1.872760758239601711e-02
2.648318590440599252e+00,1.844590499769764580e-02
2.662147930338461421e+00,1.843712415146048569e-02
2.675977270236323591e+00,1.767655944848772059e-02
2.689806610134185760e+00,1.736925072917119145e-02
2.703635950032047930e+00,1.719997479316359018e-02
2.717465289929910099e+00,1.709662652068302466e-02
2.731294629827771381e+00,1.699226830399939991e-02
2.745123969725633550e+00,1.688767449705713339e-02
2.758953309623495720e+00,1.657770491849433134e-02
2.772782649521357889e+00,1.640120632563122141e-02
2.786611989419220059e+00,1.622216786966026308e-02
2.800441329317082229e+00,1.604012372728338617e-02
2.814270669214944398e+00,1.558365254667432899e-02
2.828100009112806568e+00,1.512284611121824524e-02
2.841929349010668737e+00,1.478949699203833262e-02
2.855758688908530907e+00,1.445198300628488738e-02
2.869588028806393076e+00,1.424491573372902407e-02
2.883417368704255246e+00,1.396691588305485308e-02
2.897246708602117415e+00,1.388920153019657967e-02
2.911076048499979585e+00,1.381102140763568013e-02
2.924905388397841755e+00,1.386709478085035654e-02
2.938734728295703924e+00,1.372141643868536251e-02
2.952564068193566094e+00,1.323392004233337957e-02
2.966393408091428263e+00,1.321073214392458339e-02
2.980222747989290433e+00,1.318914916940615301e-02
2.994052087887152602e+00,1.289584364237857106e-02
3.007881427785014772e+00,1.266550371182460603e-02
3.021710767682876941e+00,1.229537146631603552e-02
3.035540107580739111e+00,1.205812894454011408e-02
3.049369447478601280e+00,1.195397652047966441e-02
3.063198787376463450e+00,1.171090294464821602e-02
3.077028127274325620e+00,1.160153813288055530e-02
3.090857467172187789e+00,1.155841490715569728e-02
3.104686807070049070e+00,1.131115456782244046e-02
3.118516146967911240e+00,1.119642156068004560e-02
3.132345486865773410e+00,1.080886556354887854e-02
3.146174826763635579e+00,1.068729471441422912e-02
3.160004166661497749e+00,1.049623455505714620e-02
3.173833506559359918e+00,1.016591102382171166e-02
3.187662846457222088e+00,1.010330057926149376e-02
3.201492186355084257e+00,9.904639524590452479e-03
3.215321526252946427e+00,9.974428659035370140e-03
3.229150866150808596e+00,9.638166938174902443e-03
3.242980206048670766e+00,9.296861604992932501e-03
3.256809545946532936e+00,9.154669261836554869e-03
3.270638885844395105e+00,8.943294928328534774e-03
