# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_2o0,average_velocity_axis_0_t_inf__params_1o0_0o75,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_1o0_0o5,average_velocity_axis_0_t_inf__params_1o0_1o5,average_velocity_axis_0_t_inf__params_1o0_0o25,average_velocity_axis_0_t_inf__params_1o0_4o0
1.959183673469387710e+00,1.547559264098030685e-01,3.045897312075577235e-01,9.082082239399133505e-02,3.219474392660189865e-01,2.147559799745586695e-01,3.424444949971635066e-01,6.002112417873483458e-02
2.122448979591836427e+00,1.585181080988014857e-01,3.096974723946183117e-01,9.292305661828401120e-02,3.266106980936937521e-01,2.196244564722810433e-01,3.463134316630421261e-01,6.085818012364812429e-02
2.285714285714285587e+00,1.619374186170902397e-01,3.138866021853060073e-01,9.490230583618240734e-02,3.303560876153845416e-01,2.238901330355615449e-01,3.492098600580059164e-01,6.166975381082107077e-02
2.448979591836734304e+00,1.650261493420122072e-01,3.171987827146866556e-01,9.676176167566968855e-02,3.332258730973058358e-01,2.275777724409202840e-01,3.511833402694578554e-01,6.245687865238549324e-02
2.612244897959183465e+00,1.677965916509102096e-01,3.196756761178261019e-01,9.850461576472908931e-02,3.352623198056721709e-01,2.307121374648771206e-01,3.522834323848005322e-01,6.322058806047321788e-02
2.775510204081632626e+00,1.702610369211269292e-01,3.213589445297900249e-01,1.001340597313438302e-01,3.365076930066979166e-01,2.333179908839519701e-01,3.525596964914369802e-01,6.396191544721607780e-02
2.938775510204081343e+00,1.724317765300052707e-01,3.222902500856443808e-01,1.016532852034971179e-01,3.370042579665977200e-01,2.354200954746647756e-01,3.520616926767698440e-01,6.468189422474587835e-02
3.102040816326530503e+00,1.743211018548879165e-01,3.225112549204550705e-01,1.030654838091721870e-01,3.367942799515862284e-01,2.370432140135354249e-01,3.508389810282019905e-01,6.538155780519444571e-02
3.265306122448979220e+00,1.759413042731177990e-01,3.220636211692878281e-01,1.043738471763522163e-01,3.359200242278774784e-01,2.382121092770838333e-01,3.489411216331363419e-01,6.606193960069359217e-02
3.428571428571428381e+00,1.773046751620376005e-01,3.209890109672083880e-01,1.055815669330204404e-01,3.344237560616864502e-01,2.389515440418299441e-01,3.464176745789756540e-01,6.672407302337515778e-02
3.591836734693877098e+00,1.784235058989900868e-01,3.193290864492827064e-01,1.066918347071600659e-01,3.323477407192274025e-01,2.392862810842936727e-01,3.433181999531227380e-01,6.736899148537092707e-02
3.755102040816326259e+00,1.793100878613181903e-01,3.171255097505765175e-01,1.077078421267542996e-01,3.297342434667147604e-01,2.392410831809950178e-01,3.396922578429804052e-01,6.799772839881278175e-02
3.918367346938775420e+00,1.799767124263645102e-01,3.144199430061557776e-01,1.086327808197863759e-01,3.266255295703633377e-01,2.388407131084537560e-01,3.355894083359514113e-01,6.861131717583247858e-02
4.081632653061224580e+00,1.804356709714720064e-01,3.112540483510861100e-01,1.094698424142395016e-01,3.230638642963872820e-01,2.381099336431899416e-01,3.310592115194386231e-01,6.921079122856189925e-02
