# surftimeconst,average_velocity_axis_1_t_inf__params_0o8,average_velocity_axis_1_t_inf__params_0o4,average_velocity_axis_1_t_inf__params_0o2,average_velocity_axis_1_t_inf__params_0o1,average_velocity_axis_1_t_inf__params_0o05
2.020408163265305923e+00,2.849519419636393214e-01,1.809942451659513341e-01,1.210866516391396058e-01,7.943299981611191829e-02,5.396164170541529331e-02
2.081632653061224580e+00,2.766201204357204846e-01,1.763231827313316291e-01,1.184788751437771542e-01,7.826742916280893247e-02,5.328659738053876521e-02
2.142857142857142794e+00,2.689067701797158705e-01,1.719460533219867304e-01,1.159855059637065061e-01,7.717010090928039245e-02,5.263452543206005585e-02
2.204081632653061007e+00,2.618235602187367617e-01,1.678758836407019395e-01,1.136161985241393585e-01,7.614857866216587223e-02,5.201060465467465671e-02
2.265306122448979664e+00,2.553821595758944962e-01,1.641257003902624190e-01,1.113806072502874639e-01,7.521042602810502908e-02,5.142001384307819806e-02
2.326530612244897878e+00,2.495942372743008564e-01,1.607085302734536925e-01,1.092883865673626442e-01,7.436320661373749252e-02,5.086793179196620607e-02
2.387755102040816091e+00,2.444714623370671247e-01,1.576373999930608671e-01,1.073491909005766659e-01,7.361448402570286431e-02,5.035953729603425549e-02
2.448979591836734748e+00,2.400255037873046948e-01,1.549253362518693833e-01,1.055726746751412953e-01,7.297182187064082948e-02,4.990000914997790721e-02
2.510204081632652962e+00,2.362680306481252379e-01,1.525853657526644036e-01,1.039684923162683267e-01,7.244278375519094815e-02,4.949452614849268739e-02
2.571428571428571175e+00,2.332107119426401476e-01,1.506305151982313406e-01,1.025462982491695124e-01,7.203493328599286372e-02,4.914826708627420548e-02
2.632653061224489832e+00,2.308652166939607897e-01,1.490738112913553848e-01,1.013157468990566468e-01,7.175583406968621958e-02,4.886641075801796685e-02
2.693877551020408045e+00,2.292432139251988077e-01,1.479282807348219209e-01,1.002864926911415100e-01,7.161304971291065913e-02,4.865413595841959482e-02
2.755102040816326259e+00,2.283563726594655674e-01,1.472069502314161948e-01,9.946819005063586849e-02,7.161414382230577025e-02,4.851662148217461556e-02
2.816326530612244916e+00,2.282163619198724624e-01,1.469228464839235637e-01,9.887049340275144704e-02,7.176668000451119633e-02,4.845904612397855526e-02
2.877551020408163129e+00,2.288348507295311363e-01,1.470889961951292457e-01,9.850305717270013695e-02,7.207822186616660853e-02,4.848658867852706500e-02
2.938775510204081343e+00,2.302235081115530102e-01,1.477184260678185146e-01,9.837553578569355195e-02,7.255633301391153922e-02,4.860442794051561544e-02
3.000000000000000000e+00,2.323940030890494501e-01,1.488241628047768383e-01,9.849758366694361111e-02,7.320857705438568730e-02,4.881774270463982990e-02
