# log(rho), p(log(rho))
1.548886068560559437e+00,4.647813579809299822e-02
1.571934968390329423e+00,4.661679860912434914e-02
1.594983868220100298e+00,4.675833826752332639e-02
1.618032768049870285e+00,4.714550338091306331e-02
1.641081667879640271e+00,4.771898405760172795e-02
1.664130567709410258e+00,4.874269093549013498e-02
1.687179467539181132e+00,5.001342769481868789e-02
1.710228367368951119e+00,5.073681673178065399e-02
1.733277267198721106e+00,5.196724745030679299e-02
1.756326167028491092e+00,5.330356698945382804e-02
1.779375066858261967e+00,5.491560226457766619e-02
1.802423966688031953e+00,5.655522796885471826e-02
1.825472866517801940e+00,5.770173868312823695e-02
1.848521766347571926e+00,6.191355803841142730e-02
1.871570666177342801e+00,6.063629901134142547e-02
1.894619566007112788e+00,6.213689632161516901e-02
1.917668465836882774e+00,6.204870112252287156e-02
1.940717365666653649e+00,6.268985301433800672e-02
1.963766265496423635e+00,6.371858487194251297e-02
1.986815165326193622e+00,6.517902404717225429e-02
2.009864065155963608e+00,6.723716530246505452e-02
2.032912964985734483e+00,6.831050132657119633e-02
2.055961864815504470e+00,6.939007642472168336e-02
2.079010764645274456e+00,7.127785380496484691e-02
2.102059664475044443e+00,7.265627744660824172e-02
2.125108564304815317e+00,7.412980122416626405e-02
2.148157464134585304e+00,7.579527663752749778e-02
2.171206363964355290e+00,7.716520355880528148e-02
2.194255263794126165e+00,7.915741072720751392e-02
2.217304163623896152e+00,8.179866323253391636e-02
2.240353063453666138e+00,8.205182690611917407e-02
2.263401963283436125e+00,8.340910770779168260e-02
2.286450863113206999e+00,8.308765066509193886e-02
2.309499762942976986e+00,8.308561680611717404e-02
2.332548662772746972e+00,8.497364604229841467e-02
2.355597562602516959e+00,8.557681704684458324e-02
2.378646462432287834e+00,8.601258138152359511e-02
2.401695362262057820e+00,8.759611172450469663e-02
2.424744262091827807e+00,8.959695470713047172e-02
2.447793161921597793e+00,9.063025960271496595e-02
2.470842061751368668e+00,9.266488173453135690e-02
2.493890961581138654e+00,9.340821575150218270e-02
2.516939861410908641e+00,9.625377684424697711e-02
2.539988761240679516e+00,9.606370268185397687e-02
2.563037661070449502e+00,9.709757091079680713e-02
2.586086560900219489e+00,9.949370616501895803e-02
2.609135460729989475e+00,1.013587008730573169e-01
2.632184360559760350e+00,1.014311158984848582e-01
2.655233260389530336e+00,1.010378595638317806e-01
2.678282160219300323e+00,1.020171645651476722e-01
2.701331060049070310e+00,1.038119333158790680e-01
2.724379959878841184e+00,1.049788079318427908e-01
2.747428859708611171e+00,1.050241595416729207e-01
2.770477759538381157e+00,1.063258764665460654e-01
2.793526659368152032e+00,1.058777630881940074e-01
2.816575559197922018e+00,1.074510089621203979e-01
