# log(rho), p(log(rho))
-3.337480695350728332e+00,1.157108318580158322e-05
-3.314431795520958346e+00,1.253541961143387777e-05
-3.291382895691188359e+00,1.356058408708791250e-05
-3.268333995861417485e+00,1.474809446558158386e-05
-3.245285096031647498e+00,1.604395239113600281e-05
-3.222236196201877512e+00,1.744758497748798972e-05
-3.199187296372107081e+00,1.905459430701379590e-05
-3.176138396542336650e+00,2.049495011489510244e-05
-3.153089496712566664e+00,2.211857915565165311e-05
-3.130040596882796677e+00,2.381481857084510219e-05
-3.106991697053026247e+00,2.563009197378169287e-05
-3.083942797223255816e+00,2.812443302360192752e-05
-3.060893897393485830e+00,3.053500257240829475e-05
-3.037844997563715843e+00,3.307256854570939737e-05
-3.014796097733945413e+00,3.569543546848386669e-05
-2.991747197904174982e+00,3.821287757325446177e-05
-2.968698298074404995e+00,4.118446385223186330e-05
-2.945649398244634565e+00,4.424302655062576224e-05
-2.922600498414864134e+00,4.733353743031696703e-05
-2.899551598585094148e+00,5.100970039388987731e-05
-2.876502698755324161e+00,5.520879115894538805e-05
-2.853453798925553730e+00,5.903475821529330283e-05
-2.830404899095783300e+00,6.358521962625469145e-05
-2.807355999266013313e+00,6.844869971102228315e-05
-2.784307099436243327e+00,7.308077161450431808e-05
-2.761258199606472896e+00,7.809065301686331370e-05
-2.738209299776702466e+00,8.356169916915681011e-05
-2.715160399946932479e+00,9.019576991030877819e-05
-2.692111500117162493e+00,9.778894401124426262e-05
-2.669062600287391618e+00,1.053727788322563169e-04
-2.646013700457621631e+00,1.120079422274777625e-04
-2.622964800627851645e+00,1.201523050870948535e-04
-2.599915900798081214e+00,1.290672291778505144e-04
-2.576867000968311228e+00,1.385029690986403752e-04
-2.553818101138540797e+00,1.488356935612341269e-04
-2.530769201308770366e+00,1.593561631026406162e-04
-2.507720301479000380e+00,1.694009185466283508e-04
-2.484671401649229949e+00,1.812528186768792913e-04
-2.461622501819459963e+00,1.930423778406172594e-04
-2.438573601989689532e+00,2.057750410414652305e-04
-2.415524702159919546e+00,2.214244270868966774e-04
-2.392475802330149115e+00,2.367244701730596710e-04
-2.369426902500379128e+00,2.549324151017535122e-04
-2.346378002670608698e+00,2.725213136079187291e-04
-2.323329102840838711e+00,2.890895238762340833e-04
-2.300280203011068281e+00,3.082316209267091487e-04
-2.277231303181298294e+00,3.295531240018241157e-04
-2.254182403351527864e+00,3.509593252159461042e-04
-2.231133503521757433e+00,3.738835882374147088e-04
-2.208084603691987446e+00,3.998286694718709735e-04
-2.185035703862217016e+00,4.269877458417984067e-04
-2.161986804032447029e+00,4.551193209465063819e-04
-2.138937904202676599e+00,4.865532467965411317e-04
-2.115889004372906612e+00,5.161861471027211386e-04
-2.092840104543136182e+00,5.499195885261556026e-04
-2.069791204713366195e+00,5.934551394376138015e-04
-2.046742304883595764e+00,6.307738855270672009e-04
-2.023693405053825778e+00,6.674576671864673044e-04
-2.000644505224055347e+00,7.119924875592309943e-04
-1.977595605394285361e+00,7.564037604600088761e-04
-1.954546705564514930e+00,7.988256883990304570e-04
-1.931497805734744500e+00,8.466023797953996753e-04
-1.908448905904974513e+00,8.990311742730838166e-04
-1.885400006075204082e+00,9.610220487649791038e-04
-1.862351106245434096e+00,1.022186288877099123e-03
-1.839302206415663665e+00,1.087009302761476155e-03
-1.816253306585893679e+00,1.151674203894368070e-03
-1.793204406756123248e+00,1.223974667712057155e-03
-1.770155506926353262e+00,1.300892969224101041e-03
-1.747106607096582831e+00,1.385456092598269734e-03
-1.724057707266812844e+00,1.465973971113922756e-03
-1.701008807437042414e+00,1.552905018722017250e-03
-1.677959907607272427e+00,1.635175648326244466e-03
-1.654911007777501997e+00,1.732775166500946261e-03
