# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_0o125,average_velocity_axis_0_t_inf__params_1o0_0o25,average_velocity_axis_0_t_inf__params_1o0_0o5,average_velocity_axis_0_t_inf__params_1o0_1o0
2.693877551020408045e+00,4.390164852599009321e-02,7.264112816358039848e-02,1.012506525301762744e-01,1.158550958873768993e-01
2.816326530612244916e+00,4.391384131493138859e-02,7.276629942712592447e-02,1.018306539550690309e-01,1.167775461569071638e-01
2.938775510204081343e+00,4.389399799814715231e-02,7.283987034269626126e-02,1.023479122398747027e-01,1.175801803520068883e-01
3.061224489795918213e+00,4.384799889231065506e-02,7.286740472733230223e-02,1.028038385227990487e-01,1.182653878320101271e-01
3.183673469387755084e+00,4.378172431409510512e-02,7.285446639807489910e-02,1.031998439420476893e-01,1.188355579562509062e-01
3.306122448979591955e+00,4.370105458017377320e-02,7.280661917196490363e-02,1.035373396358263420e-01,1.192930800840633077e-01
3.428571428571428381e+00,4.361187000721988838e-02,7.272942686604319529e-02,1.038177367423407521e-01,1.196403435747813299e-01
3.551020408163265252e+00,4.352005091190670749e-02,7.262845329735062583e-02,1.040424463997965676e-01,1.198797377877390685e-01
3.673469387755102122e+00,4.343147761090747350e-02,7.250926228292806086e-02,1.042128797463994505e-01,1.200136520822705222e-01
3.795918367346938549e+00,4.335203042089542935e-02,7.237741763981636600e-02,1.043304479203551322e-01,1.200444758177097448e-01
3.918367346938775420e+00,4.328758965854379720e-02,7.223848318505642074e-02,1.043965620598693300e-01,1.199745983533907906e-01
4.040816326530611846e+00,4.324403564052588939e-02,7.209802273568906295e-02,1.044126333031476783e-01,1.198064090486476996e-01
4.163265306122449161e+00,4.322724868351485172e-02,7.196160010875517210e-02,1.043800727883959223e-01,1.195422972628145120e-01
4.285714285714285587e+00,4.324310910418403819e-02,7.183477912129559995e-02,1.043002916538197100e-01,1.191846523552252957e-01
4.408163265306122014e+00,4.329749721920660155e-02,7.172312359035125373e-02,1.041747010376247590e-01,1.187358636852140631e-01
4.530612244897959329e+00,4.339629334525585413e-02,7.163219733296291580e-02,1.040047120780168005e-01,1.181983206121148405e-01
4.653061224489795755e+00,4.354537779900496258e-02,7.156756416617149341e-02,1.037917359132014272e-01,1.175744124952616959e-01
4.775510204081632182e+00,4.375063089712722536e-02,7.153478790701787993e-02,1.035371836813843982e-01,1.168665286939887249e-01
4.897959183673469497e+00,4.401793295629594094e-02,7.153943237254289933e-02,1.032424665207714309e-01,1.160770585676298705e-01
5.020408163265305923e+00,4.435316429318422737e-02,7.158706137978738948e-02,1.029089955695681458e-01,1.152083914755192701e-01
5.142857142857142350e+00,4.476220522446544559e-02,7.168323874579229926e-02,1.025381819659803156e-01,1.142629167769908666e-01
5.265306122448979664e+00,4.525093606681275527e-02,7.183352828759842490e-02,1.021314368482135471e-01,1.132430238313787974e-01
5.387755102040816091e+00,4.582523713689945488e-02,7.204349382224661813e-02,1.016901713544735852e-01,1.121511019980170609e-01
5.510204081632652517e+00,4.649098875139877352e-02,7.231869916677785559e-02,1.012157966229661754e-01,1.109895406362396697e-01
5.632653061224489832e+00,4.725407122698395412e-02,7.266470813823280861e-02,1.007097237918968824e-01,1.097607291053807471e-01
5.755102040816326259e+00,4.812036488032826742e-02,7.308708455365253709e-02,1.001733639994715069e-01,1.084670567647743195e-01
5.877551020408162685e+00,4.909575002810487310e-02,7.359139223007778174e-02,9.960812838389568324e-02,1.071109129737543714e-01
6.000000000000000000e+00,5.018610698698713901e-02,7.418319498454944982e-02,9.901542808337515655e-02,1.056946870916549708e-01
