# surftimeconst,average_velocity_axis_0_t_inf__params_12o0_8o0,average_velocity_axis_0_t_inf__params_12o0_2o0,average_velocity_axis_0_t_inf__params_12o0_1o0,average_velocity_axis_0_t_inf__params_16o0_1o0,average_velocity_axis_0_t_inf__params_12o0_4o0,average_velocity_axis_0_t_inf__params_16o0_4o0,average_velocity_axis_0_t_inf__params_16o0_8o0,average_velocity_axis_0_t_inf__params_16o0_2o0
1.224489795918367374e+00,9.215036799487051900e-01,9.441637799637379036e-01,9.350518249440136209e-01,1.217986546337672227e+00,9.180279693768607086e-01,1.197625826641683044e+00,1.222383537010692578e+00,1.155824257994205073e+00
1.346938775510204023e+00,9.229972899583986923e-01,9.544982752609336707e-01,9.354573586588779133e-01,1.222338173486092083e+00,9.209591280274775915e-01,1.198576431690114408e+00,1.223282668470141887e+00,1.161292968661742808e+00
1.469387755102040671e+00,9.232488949980053317e-01,9.631496339315709365e-01,9.356284283429386894e-01,1.224970908553448590e+00,9.234331928203024509e-01,1.197861122925518718e+00,1.222830063755188101e+00,1.166588223489370746e+00
1.591836734693877542e+00,9.223290582353979028e-01,9.701903412402969051e-01,9.355675621597582259e-01,1.225969629898068680e+00,9.254497159123715733e-01,1.195578224155788405e+00,1.221087446683294164e+00,1.171661527293485161e+00
1.714285714285714191e+00,9.203083428384492004e-01,9.756928824517580034e-01,9.352772882728983550e-01,1.225419215878277734e+00,9.270082494607210233e-01,1.191826059188815012e+00,1.218116541071921910e+00,1.176464384890481218e+00
1.836734693877551061e+00,9.172573119750322412e-01,9.797297428306008804e-01,9.347601348459209092e-01,1.223404544852402243e+00,9.281083456223870876e-01,1.186702951832491193e+00,1.213979070738534061e+00,1.180948301096755637e+00
1.959183673469387710e+00,9.132465288130199310e-01,9.823734076414719629e-01,9.340186300423881649e-01,1.220010495178768473e+00,9.287495565544061638e-01,1.180307225894708933e+00,1.208736759500592228e+00,1.185064780728703804e+00
2.081632653061224580e+00,9.083465565202847314e-01,9.836963621490181220e-01,9.330553020258617325e-01,1.215321945215702248e+00,9.289314344138143165e-01,1.172737205183360443e+00,1.202451331175558691e+00,1.188765328602721993e+00
2.204081632653061007e+00,9.026279582646999922e-01,9.837710916178855625e-01,9.318726789599038884e-01,1.209423773321530726e+00,9.286535313576477213e-01,1.164091213506338152e+00,1.195184509580896393e+00,1.192001449535205149e+00
2.326530612244897878e+00,8.961612972141378419e-01,9.826700813127215994e-01,9.304732890080763541e-01,1.202400857854578620e+00,9.279153995429428869e-01,1.154467574671533381e+00,1.186998018534066723e+00,1.194724648342550211e+00
2.448979591836734748e+00,8.890171365364715195e-01,9.804658164981724378e-01,9.288596603339411839e-01,1.194338077173173085e+00,9.267165911267358780e-01,1.143964612486839449e+00,1.177953581852532849e+00,1.196886429841152788e+00
2.571428571428571175e+00,8.812660393995740415e-01,9.772307824388850594e-01,9.270343211010603213e-01,1.185320309635639724e+00,9.250566582660629811e-01,1.132680650760147456e+00,1.168112923353755717e+00,1.198438298847408046e+00
2.693877551020408045e+00,8.729785689713180918e-01,9.730374643995056694e-01,9.249997994729957096e-01,1.175432433600305471e+00,9.229351531179602608e-01,1.120714013299350054e+00,1.157537766855198491e+00,1.199331760177712702e+00
2.816326530612244916e+00,8.642252884195762430e-01,9.679583476446809165e-01,9.227586236133091813e-01,1.164759327425495705e+00,9.203516278394641148e-01,1.108163023912339451e+00,1.146289836174323229e+00,1.199518318648462589e+00
2.938775510204081343e+00,8.550767609122215118e-01,9.620659174390576718e-01,9.203133216855629017e-01,1.153385869469537139e+00,9.173056345876109408e-01,1.095126006407007413e+00,1.134430855128592208e+00,1.198949479076053093e+00
3.061224489795918213e+00,8.456035496171269150e-01,9.554326590472823622e-01,9.176664218533189255e-01,1.141396938090755597e+00,9.137967255194365812e-01,1.081701284591247036e+00,1.122022547535467485e+00,1.197576746276880044e+00
3.183673469387755084e+00,8.358762177021650253e-01,9.481310577340019696e-01,9.148204522801387517e-01,1.128877411647477569e+00,9.098244527919775448e-01,1.067987182272949420e+00,1.109126637212411115e+00,1.195351625067339940e+00
3.306122448979591955e+00,8.259653283352087483e-01,9.402335987638626991e-01,9.117779411295846570e-01,1.115912168498028434e+00,9.053883685622701183e-01,1.054082023260006995e+00,1.095804847976885821e+00,1.192225620263828167e+00
3.428571428571428381e+00,8.159414446841311008e-01,9.318127674015116435e-01,9.085414165652186957e-01,1.102586087000735571e+00,9.004880249873504772e-01,1.040084131360312414e+00,1.082118903646353436e+00,1.188150236682740779e+00
3.551020408163265252e+00,8.058751299168047666e-01,9.229410489115952299e-01,9.051134067506024783e-01,1.088984045513924137e+00,8.951229742242546861e-01,1.026091830381757442e+00,1.068130528038276683e+00,1.183076979140473606e+00
3.673469387755102122e+00,7.958369472011022072e-01,9.136909285587597740e-01,9.014964398492983921e-01,1.075190922395920845e+00,8.892927684300194757e-01,1.012203444132234065e+00,1.053901444970117174e+00,1.176957352453422700e+00
3.795918367346938549e+00,7.858974597048968835e-01,9.041348916076522579e-01,8.976930440248680476e-01,1.061291596005051741e+00,8.829969597616804666e-01,9.985172964196347145e-01,1.039493378259337408e+00,1.169742861437983450e+00
3.918367346938775420e+00,7.761272305960613682e-01,8.943454233229191086e-01,8.937057474408736102e-01,1.047370944699643092e+00,8.762351003762741675e-01,9.851317110518513775e-01,1.024968051723399665e+00,1.161385010910552129e+00
4.040816326530611846e+00,7.665968230424682339e-01,8.843950089692073080e-01,8.895370782608768012e-01,1.033513846838020722e+00,8.690067424308369759e-01,9.721450118367762627e-01,1.010387189179765999e+00,1.151835305687524569e+00
4.163265306122449161e+00,7.573768002119906084e-01,8.743561338111630610e-01,8.851895646484398972e-01,1.019805180778510678e+00,8.613114380824046235e-01,9.596555225823018009e-01,9.958125144458986888e-01,1.141045250585296600e+00
