# distance__t_0.0,pdf__t_0.0,distance__t_0.384,pdf__t_0.384,distance__t_0.765,pdf__t_0.765,distance__t_1.146,pdf__t_1.146,distance__t_1.53,pdf__t_1.53
8.603114390172039716e-01,4.585643195854974957e-02,8.603114390172039716e-01,4.585643195854974957e-02,8.603114390172039716e-01,4.585643195854974957e-02,8.603114390172039716e-01,4.585643195854974957e-02,8.603114390172039716e-01,4.585643195854974957e-02
8.628529794574320011e-01,4.476833322581647012e-02,8.628529794574320011e-01,4.476833322581647012e-02,8.628529794574320011e-01,4.476833322581647012e-02,8.628529794574320011e-01,4.476833322581647012e-02,8.628529794574320011e-01,4.476833322581647012e-02
8.653945198976601416e-01,4.347971765345097495e-02,8.653945198976601416e-01,4.347971765345097495e-02,8.653945198976601416e-01,4.347971765345097495e-02,8.653945198976601416e-01,4.347971765345097495e-02,8.653945198976601416e-01,4.347971765345097495e-02
8.679360603378882821e-01,4.245354323884071440e-02,8.679360603378882821e-01,4.245354323884071440e-02,8.679360603378882821e-01,4.245354323884071440e-02,8.679360603378882821e-01,4.245354323884071440e-02,8.679360603378882821e-01,4.245354323884071440e-02
8.704776007781163116e-01,4.145833098329562011e-02,8.704776007781163116e-01,4.145833098329562011e-02,8.704776007781163116e-01,4.145833098329562011e-02,8.704776007781163116e-01,4.145833098329562011e-02,8.704776007781163116e-01,4.145833098329562011e-02
8.730191412183443411e-01,4.063783376816691717e-02,8.730191412183443411e-01,4.063783376816691717e-02,8.730191412183443411e-01,4.063783376816691717e-02,8.730191412183443411e-01,4.063783376816691717e-02,8.730191412183443411e-01,4.063783376816691717e-02
8.755606816585723706e-01,3.978784878250175155e-02,8.755606816585723706e-01,3.978784878250175155e-02,8.755606816585723706e-01,3.978784878250175155e-02,8.755606816585723706e-01,3.978784878250175155e-02,8.755606816585723706e-01,3.978784878250175155e-02
8.781022220988005111e-01,3.878084141874265506e-02,8.781022220988005111e-01,3.878084141874265506e-02,8.781022220988005111e-01,3.878084141874265506e-02,8.781022220988005111e-01,3.878084141874265506e-02,8.781022220988005111e-01,3.878084141874265506e-02
8.806437625390286517e-01,3.791758693633694166e-02,8.806437625390286517e-01,3.791758693633694166e-02,8.806437625390286517e-01,3.791758693633694166e-02,8.806437625390286517e-01,3.791758693633694166e-02,8.806437625390286517e-01,3.791758693633694166e-02
8.831853029792566812e-01,3.720914324924184946e-02,8.831853029792566812e-01,3.720914324924184946e-02,8.831853029792566812e-01,3.720914324924184946e-02,8.831853029792566812e-01,3.720914324924184946e-02,8.831853029792566812e-01,3.720914324924184946e-02
