# time,average_velocity_axis_0_t_inf,95CLI,vs,filterlength,surftimeconst
9.997999999999999332e+00,6.472525677010402267e-01,8.403218535343724704e-02,8.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,6.784484084316863006e-01,8.473833953855197665e-02,8.000000000000000000e+00,8.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,3.791147874106071680e-01,4.109500488073352525e-02,4.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,6.900190991323265077e-01,7.622530893161327814e-02,8.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,3.847240494973995228e-01,3.924526950772991990e-02,4.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+00
9.997999999999999332e+00,7.206370570989198976e-01,9.483580160308030527e-02,8.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,3.814092427860572565e-01,4.392146919990395915e-02,4.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,3.986424277042908693e-01,3.891608935110110745e-02,4.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,6.578106730721144935e-01,8.225351494591870427e-02,8.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,5.536693838767754450e-01,7.784770260743434367e-02,8.000000000000000000e+00,8.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,2.925037456710092298e-01,3.637616106115258013e-02,4.000000000000000000e+00,8.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,6.545848560337066413e-01,7.056085166428451017e-02,8.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,3.680415247111922805e-01,3.927295660471746136e-02,4.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,6.838733481071215259e-01,7.790730763931659475e-02,8.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,6.201278505701142141e-01,7.540581222728195976e-02,8.000000000000000000e+00,8.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,3.572598539239097981e-01,3.829036363454524361e-02,4.000000000000000000e+00,4.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,3.548170114491648319e-01,4.121805687921405170e-02,4.000000000000000000e+00,8.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,3.950059511902380693e-01,4.228798422424053655e-02,4.000000000000000000e+00,2.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,7.557494248849770946e-01,7.649301875941291740e-02,8.000000000000000000e+00,4.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,7.028922315713144187e-01,7.922373079799641116e-02,8.000000000000000000e+00,2.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,4.266396650423834869e-01,3.901897399117713189e-02,4.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e+00
9.997999999999999332e+00,3.590926087561262525e-01,3.977470991012814483e-02,4.000000000000000000e+00,8.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,4.087081322514503068e-01,3.725909662578541504e-02,4.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,3.330786579190838648e-01,3.726468700071883244e-02,4.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,7.099425010002000658e-01,7.595023248126298032e-02,8.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,6.386599366748350048e-01,9.051635363552430757e-02,8.000000000000000000e+00,8.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,6.580548078365674458e-01,8.893738724509457627e-02,8.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,7.293861084716943832e-01,7.856055480812737524e-02,8.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,3.871268945195289191e-01,3.954896390024852104e-02,4.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,3.203260847481996798e-01,3.961959309348182801e-02,4.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,5.863742482871574513e-01,6.741312429447220145e-02,8.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00
