# surftimeconst,average_velocity_axis_0_t_inf__params_4o0_5o0,average_velocity_axis_0_t_inf__params_8o0_6o0,average_velocity_axis_0_t_inf__params_4o0_6o0,average_velocity_axis_0_t_inf__params_8o0_7o0,average_velocity_axis_0_t_inf__params_4o0_7o0,average_velocity_axis_0_t_inf__params_8o0_3o0,average_velocity_axis_0_t_inf__params_8o0_5o0,average_velocity_axis_0_t_inf__params_4o0_3o0
4.163265306122449161e+00,3.456455173265113867e-01,5.598597560673984619e-01,3.483488385350038685e-01,6.086222815801112240e-01,3.385004326014972031e-01,6.523348293973360024e-01,6.207990036686006352e-01,3.799938376100993054e-01
4.285714285714285587e+00,3.433672443443119837e-01,5.560917300993163392e-01,3.464352994834292154e-01,6.027515926725137696e-01,3.375152106702621335e-01,6.481095521401906145e-01,6.169566473664509498e-01,3.772981470748483779e-01
4.408163265306122014e+00,3.411632451726452908e-01,5.525539739085234547e-01,3.443399057068592950e-01,5.965171044320474181e-01,3.364010262374954041e-01,6.437678959834082226e-01,6.128873935411710550e-01,3.744751885991475238e-01
4.530612244897959329e+00,3.390614854618168583e-01,5.492868496670795242e-01,3.420692989637963422e-01,5.899271231712259755e-01,3.351574964613515673e-01,6.393364686535299990e-01,6.086018761636504681e-01,3.715437849136608017e-01
4.653061224489795755e+00,3.370899308621311818e-01,5.463307195470439304e-01,3.396301210127418702e-01,5.829899552025626930e-01,3.337842384999852863e-01,6.348418778770968940e-01,6.041107292047792621e-01,3.685227587490527146e-01
4.775510204081632182e+00,3.352765470238938117e-01,5.437259457204763891e-01,3.370290136121977809e-01,5.757139068385712655e-01,3.322808695115509470e-01,6.303107313806499690e-01,5.994245866354468433e-01,3.654309328359871545e-01
4.897959183673469497e+00,3.336492995974094100e-01,5.415128903594366161e-01,3.342726185206661427e-01,5.681072843917646109e-01,3.306470066542030461e-01,6.257696368907299522e-01,5.945540824265429514e-01,3.622871299051283467e-01
5.020408163265305923e+00,3.322361542329829720e-01,5.397319156359834391e-01,3.313675774966483578e-01,5.601783941746565354e-01,3.288822670860962472e-01,6.212452021338784602e-01,5.895098505489574370e-01,3.591101726871405164e-01
5.142857142857142350e+00,3.310650765809196594e-01,5.384233837221770180e-01,3.283205322986467167e-01,5.519355424997601789e-01,3.269862679653850468e-01,6.167640348366361103e-01,5.843025249735798177e-01,3.559188839126877779e-01
5.265306122448979664e+00,3.301640322915243009e-01,5.376276567900761805e-01,3.251381246851623441e-01,5.433870356795892365e-01,3.249586264502239974e-01,6.123527427255439637e-01,5.789427396712998330e-01,3.527320863124341344e-01
5.387755102040816091e+00,3.295609870151020027e-01,5.373850970117410863e-01,3.218269964146978634e-01,5.345411800266566260e-01,3.227989596987675958e-01,6.080379335271430818e-01,5.734411286130072227e-01,3.495686026170439775e-01
5.510204081632652517e+00,3.292839064019578155e-01,5.377360665592306743e-01,3.183937892457544550e-01,5.254062818534762647e-01,3.205068848691703942e-01,6.038462149679746371e-01,5.678083257695917263e-01,3.464472555571815882e-01
5.632653061224489832e+00,3.293607561023965125e-01,5.387209276046052153e-01,3.148451449368342425e-01,5.159906474725615144e-01,3.180820191195868896e-01,5.998041947745800240e-01,5.620549651119428614e-01,3.433868678635108029e-01
5.755102040816326259e+00,3.298195017667234219e-01,5.403800423199235370e-01,3.111877052464389060e-01,5.063025831964255152e-01,3.155239796081716341e-01,5.959384806734994156e-01,5.561916806109505895e-01,3.404062622666959581e-01
5.877551020408162685e+00,3.306881090452432614e-01,5.427537728772450221e-01,3.074281119330701806e-01,4.963503953375818512e-01,3.128323834930791802e-01,5.922756803912743173e-01,5.502291062375044284e-01,3.375242614974011679e-01
6.000000000000000000e+00,3.319945435882610818e-01,5.458824814486296084e-01,3.035730067552302458e-01,4.861423902085437732e-01,3.100068479324640247e-01,5.888424016544455686e-01,5.441778759624940065e-01,3.347596882862905465e-01
