# surftimeprefactor,average_velocity_axis_0_t_inf__params_0o1,average_velocity_axis_0_t_inf__params_0o2,average_velocity_axis_0_t_inf__params_0o8,average_velocity_axis_0_t_inf__params_0o05,average_velocity_axis_0_t_inf__params_0o4
7.959183673469387710e-01,1.173678561343272309e+00,1.294386712825774666e+00,1.873792138923325412e+00,1.103701019446712728e+00,1.495458132192054368e+00
8.571428571428570953e-01,1.176218579517398943e+00,1.296666969290458216e+00,1.871682335938382957e+00,1.105742000945429071e+00,1.496117374275799605e+00
9.183673469387755306e-01,1.178426945880092225e+00,1.298469178536611146e+00,1.868926670839481385e+00,1.107564468991356188e+00,1.496254851148334675e+00
9.795918367346938549e-01,1.180320319484285063e+00,1.299819659459034771e+00,1.865548973154411927e+00,1.109178620022385209e+00,1.495899261780445855e+00
1.040816326530612290e+00,1.181915359382911257e+00,1.300744730952531292e+00,1.861573072410965812e+00,1.110594650476406375e+00,1.495079305142919424e+00
1.102040816326530503e+00,1.183228724628904160e+00,1.301270711911902689e+00,1.857022798136934272e+00,1.111822756791310818e+00,1.493823680206542770e+00
1.163265306122448939e+00,1.184277074275196906e+00,1.301423921231950720e+00,1.851921979860108980e+00,1.112873135404989444e+00,1.492161085942101728e+00
1.224489795918367374e+00,1.185077067374722848e+00,1.301230677807478031e+00,1.846294447108280279e+00,1.113755982755332719e+00,1.490120221320383020e+00
1.285714285714285587e+00,1.185645362980416007e+00,1.300717300533285492e+00,1.840164029409240731e+00,1.114481495280231105e+00,1.487729785312173370e+00
1.346938775510204023e+00,1.185998620145208848e+00,1.299910108304176415e+00,1.833554556290780235e+00,1.115059869417575511e+00,1.485018476888259054e+00
1.408163265306122458e+00,1.186153497922035394e+00,1.298835420014952113e+00,1.826489857280691131e+00,1.115501301605257067e+00,1.482014995019426795e+00
1.469387755102040671e+00,1.186126655363828997e+00,1.297519554560414567e+00,1.818993761906764206e+00,1.115815988281165794e+00,1.478748038676462873e+00
1.530612244897959107e+00,1.185934751523522790e+00,1.295988830835365979e+00,1.811090099696790245e+00,1.116014125883192820e+00,1.475246306830154452e+00
1.591836734693877542e+00,1.185594445454050128e+00,1.294269567734607884e+00,1.802802700178561590e+00,1.116105910849228833e+00,1.471538498451287369e+00
1.653061224489795977e+00,1.185122396208344808e+00,1.292388084152943151e+00,1.794155392879868138e+00,1.116101539617164962e+00,1.467653312510648123e+00
1.714285714285714191e+00,1.184535262839339742e+00,1.290370698985172870e+00,1.785172007328502897e+00,1.116011208624891005e+00,1.463619447979024102e+00
1.775510204081632626e+00,1.183849704399968727e+00,1.288243731126099467e+00,1.775876373052255541e+00,1.115845114310298314e+00,1.459465603827201141e+00
1.836734693877551061e+00,1.183082379943164675e+00,1.286033499470524921e+00,1.766292319578918191e+00,1.115613453111277353e+00,1.455220479025966185e+00
1.897959183673469274e+00,1.182249948521861382e+00,1.283766322913251212e+00,1.756443676436281409e+00,1.115326421465719475e+00,1.450912772546105067e+00
1.959183673469387710e+00,1.181369069188992205e+00,1.281468520349080320e+00,1.746354273152137537e+00,1.114994215811514700e+00,1.446571183358405399e+00
2.020408163265305923e+00,1.180456400997490496e+00,1.279166410672814225e+00,1.736047939254276473e+00,1.114627032586553934e+00,1.442224410433652793e+00
2.081632653061224580e+00,1.179528603000289388e+00,1.276886312779255128e+00,1.725548504270490557e+00,1.114235068228727643e+00,1.437901152742634414e+00
2.142857142857142794e+00,1.178602334250322237e+00,1.274654545563204788e+00,1.714879797728570576e+00,1.113828519175927401e+00,1.433630109256136542e+00
2.204081632653061007e+00,1.177694253800523061e+00,1.272497427919465407e+00,1.704065649156307760e+00,1.113417581866043227e+00,1.429439978944945677e+00
2.265306122448979664e+00,1.176821020703824328e+00,1.270441278742838520e+00,1.693129888081493561e+00,1.113012452736965807e+00,1.425359460779848320e+00
2.326530612244897878e+00,1.175999294013160501e+00,1.268512416928126774e+00,1.682096344031918989e+00,1.112623328226586050e+00,1.421417253731631192e+00
2.387755102040816091e+00,1.175245732781464048e+00,1.266737161370131703e+00,1.670988846535376160e+00,1.112260404772794642e+00,1.417642056771080572e+00
2.448979591836734748e+00,1.174576996061668988e+00,1.265141830963655289e+00,1.659831225119654752e+00,1.111933878813482712e+00,1.414062568868983405e+00
2.510204081632652962e+00,1.174009742906707787e+00,1.263752744603499956e+00,1.648647309312547549e+00,1.111653946786540281e+00,1.410707488996126191e+00
2.571428571428571175e+00,1.173560632369515133e+00,1.262596221184467460e+00,1.637460928641844893e+00,1.111430805129858479e+00,1.407605516123294764e+00
2.632653061224489832e+00,1.173246323503023492e+00,1.261698579601359560e+00,1.626295912635338237e+00,1.111274650281328213e+00,1.404785349221276514e+00
2.693877551020408045e+00,1.173083475360166439e+00,1.261086138748978680e+00,1.615176090820819033e+00,1.111195678678839727e+00,1.402275687260857717e+00
2.755102040816326259e+00,1.173088746993877329e+00,1.260785217522126578e+00,1.604125292726078289e+00,1.111204086760284149e+00,1.400105229212824876e+00
2.816326530612244916e+00,1.173278797457089739e+00,1.260822134815605233e+00,1.593167347878907236e+00,1.111310070963551944e+00,1.398302674047964267e+00
2.877551020408163129e+00,1.173670285802737245e+00,1.261223209524216848e+00,1.582326085807097549e+00,1.111523827726534019e+00,1.396896720737063058e+00
2.938775510204081343e+00,1.174279871083752536e+00,1.262014760542763181e+00,1.571625336038440235e+00,1.111855553487121062e+00,1.395916068250907083e+00
3.000000000000000000e+00,1.175124212353069630e+00,1.263223106766046211e+00,1.561088928100726747e+00,1.112315444683203536e+00,1.395389415560283286e+00
