# time,average_velocity_axis_0_t_inf,95CLI,us,surftimeprefactor
2.598699999999999832e+01,1.112862607603632981e+00,1.499673210968043360e-03,5.000000000000000278e-02,2.500000000000000000e+00
2.598699999999999832e+01,1.271157809240617276e+00,3.149760417474948421e-03,2.000000000000000111e-01,2.500000000000000000e+00
2.598699999999999832e+01,1.399607824205879814e+00,4.184319893132977877e-03,4.000000000000000222e-01,2.750000000000000000e+00
2.598699999999999832e+01,1.263768443526663843e+00,3.113882030890952664e-03,2.000000000000000111e-01,2.750000000000000000e+00
2.598699999999999832e+01,1.173460279061068645e+00,2.311857210816940789e-03,1.000000000000000056e-01,2.750000000000000000e+00
2.598699999999999832e+01,1.112872946639378302e+00,1.480892394792550576e-03,5.000000000000000278e-02,2.750000000000000000e+00
2.598699999999999832e+01,1.599507440533453284e+00,8.575746817645705025e-03,8.000000000000000444e-01,2.750000000000000000e+00
2.598699999999999832e+01,1.389671672132935187e+00,3.600029859594813548e-03,4.000000000000000222e-01,3.000000000000000000e+00
2.598699999999999832e+01,1.110145711349066699e+00,1.480375715816227610e-03,5.000000000000000278e-02,3.000000000000000000e+00
2.598699999999999832e+01,1.255923804060497417e+00,3.208947704941437010e-03,2.000000000000000111e-01,3.000000000000000000e+00
2.598699999999999832e+01,1.553335708670661841e+00,9.583597738933830046e-03,8.000000000000000444e-01,3.000000000000000000e+00
2.598699999999999832e+01,1.172553171781504977e+00,2.296707276776732004e-03,1.000000000000000056e-01,3.000000000000000000e+00
