# time,u_0,95CLI,u_1,95CLI,u_2,95CLI,vs,reorientationtime
9.997999999999999332e+00,-1.272284946106194137e-01,1.819141335137697615e-02,5.919893743362841625e-03,1.607947315919567438e-02,-7.593875113274310869e-03,1.536954784377256820e-02,3.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,-1.257550614349999818e-01,2.215533659841303210e-02,-2.329131085499992759e-02,1.802340787971441760e-02,-8.518246644999987599e-03,1.965658217721061654e-02,5.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,-5.040755421874999753e-02,6.129500703850807898e-03,5.204647761132819711e-03,6.346935383559424403e-03,-4.199144749999991506e-04,5.787719209321793602e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,-1.014152456250000112e-01,3.040032578783734285e-02,-1.150415381249998356e-02,3.208780160156524119e-02,-4.213520374999958282e-03,2.227003001412685562e-02,8.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,-1.020672939062499951e-01,1.294635747137382747e-02,1.670699390624992304e-03,1.151400207689837890e-02,-1.145526357265626294e-02,1.081749980102184212e-02,2.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,-1.259885279562500127e-01,2.056753950950229032e-02,-1.103882628750000282e-02,1.599281431838441014e-02,4.424252381249983018e-03,1.568585472403706896e-02,4.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,-8.962355772000003828e-02,3.431573381570723891e-02,-2.112570751999999150e-02,2.463850479948136510e-02,1.741313984999994652e-02,2.672494046252840358e-02,7.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,-1.083244017499999656e-01,2.170383618939059067e-02,-7.587688237499961089e-03,2.908732468065338903e-02,-2.188320987499987706e-03,2.072237717969986626e-02,8.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,-8.805903236562501180e-02,1.280468049592643938e-02,-1.342036976796876120e-02,1.284981347457976077e-02,-7.230684689843760483e-03,1.086803939871089190e-02,2.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,-1.257404460265486301e-01,1.836872187292141675e-02,2.919438284955759837e-03,1.830307862027484925e-02,-8.007759300884974632e-03,1.583817841191633921e-02,3.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,-1.236466802071428811e-01,3.568382991718490466e-02,-1.978749317857144904e-02,2.887336569933133396e-02,3.847399285714374079e-03,3.108881891629968960e-02,6.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,-5.023109143769530910e-02,6.132863508245176530e-03,-6.586428995507824687e-03,6.300407764107808332e-03,-1.271307473242180635e-03,6.112058266780230793e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,-1.338616360125000071e-01,2.168340666388474461e-02,-3.106800812499969488e-03,1.815514932760732558e-02,-9.093665312500127246e-04,2.079159981963667192e-02,4.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,-1.245307057249999405e-01,2.383770357372378551e-02,-8.795865724999973184e-03,2.380527415692534204e-02,-1.237418527999998262e-02,2.418574603582213101e-02,5.000000000000000000e+00,2.000000000000000000e+00
