# surftimeconst,average_velocity_axis_0_t_inf__params_1o0,average_velocity_axis_0_t_inf__params_7o0,average_velocity_axis_0_t_inf__params_6o0,average_velocity_axis_0_t_inf__params_5o0,average_velocity_axis_0_t_inf__params_4o0,average_velocity_axis_0_t_inf__params_3o0,average_velocity_axis_0_t_inf__params_8o0,average_velocity_axis_0_t_inf__params_2o0
1.795918367346938549e+00,3.776608886797848674e-01,1.705207642094603848e+00,1.526378577537714332e+00,1.336743794022750897e+00,1.142590009628999814e+00,9.077092329702591833e-01,1.859769781980739278e+00,6.677563010754233863e-01
1.877551020408163129e+00,3.781555454668941163e-01,1.694387444007883214e+00,1.520058137545870602e+00,1.331801807787582170e+00,1.136802486109089294e+00,9.051325774060899887e-01,1.845858427193061368e+00,6.673382740670827928e-01
1.959183673469387710e+00,3.782453572037460798e-01,1.682486810912938058e+00,1.512625244223974708e+00,1.325855777213529318e+00,1.130075678908394998e+00,9.017555056806956237e-01,1.830938241827948065e+00,6.662469737317519014e-01
2.040816326530612290e+00,3.779549975222282754e-01,1.669582739237019720e+00,1.504127021175355683e+00,1.318966406984935613e+00,1.122490667540432252e+00,8.976376861055813672e-01,1.815101671606388134e+00,6.645219788053646770e-01
2.122448979591836427e+00,3.773091400542276652e-01,1.655752225407380429e+00,1.494610592003344340e+00,1.311194401786142549e+00,1.114128531518715715e+00,8.928387869922541631e-01,1.798441162249369007e+00,6.622028680238556397e-01
2.204081632653061007e+00,3.763324584316319332e-01,1.641072265851270640e+00,1.484123080311269272e+00,1.302600466301494286e+00,1.105070350356760045e+00,8.874184766522196233e-01,1.781049159477878563e+00,6.593292201231585326e-01
2.285714285714285587e+00,3.750496262863282082e-01,1.625619856995942580e+00,1.472711609702460844e+00,1.293245305215332763e+00,1.095397203568080124e+00,8.814364233969840257e-01,1.763018109012904455e+00,6.559406138392077645e-01
2.367346938775510168e+00,3.734853172502042296e-01,1.609471995268647149e+00,1.460423303780248760e+00,1.283189623212001473e+00,1.085190170666191278e+00,8.749522955380539813e-01,1.744440456575435228e+00,6.520766279079370786e-01
2.448979591836734304e+00,3.716642049551470706e-01,1.592705677096637240e+00,1.447305286147962722e+00,1.272494124975843466e+00,1.074530331164608610e+00,8.680257613869351019e-01,1.725408647886458757e+00,6.477768410652811060e-01
2.530612244897958885e+00,3.696109630330442486e-01,1.575397898907162419e+00,1.433404680408931986e+00,1.261219515191201346e+00,1.063498764576846778e+00,8.607164892551339985e-01,1.706015128666963587e+00,6.430808320471735895e-01
2.612244897959183465e+00,3.673502651157830590e-01,1.557625657127476471e+00,1.418768610166486699e+00,1.249426498542418162e+00,1.052176550416420220e+00,8.530841474541567271e-01,1.686352344637935818e+00,6.380281795895488273e-01
2.693877551020408045e+00,3.649067848352508525e-01,1.539465948184828514e+00,1.403444199023956340e+00,1.237175779713836743e+00,1.040644768196844483e+00,8.451884042955093435e-01,1.666512741520365548e+00,6.326584624283406733e-01
2.775510204081632626e+00,3.623051958233349801e-01,1.520995768506472334e+00,1.387478570584670834e+00,1.224528063389800137e+00,1.028984497431634448e+00,8.370889280906984586e-01,1.646588765035238655e+00,6.270112592994835365e-01
2.857142857142856762e+00,3.595701717119230700e-01,1.502292114519657940e+00,1.370918848451959660e+00,1.211544054254650948e+00,1.017276817634304775e+00,8.288453871512296844e-01,1.626672860903545015e+00,6.211261489389114931e-01
2.938775510204081343e+00,3.567263861329022512e-01,1.483431982651637338e+00,1.353812156229152075e+00,1.198284456992732894e+00,1.005602808318370123e+00,8.205174497886096319e-01,1.606857474846271394e+00,6.150427100825588411e-01
3.020408163265305923e+00,3.537985127181598743e-01,1.464492369329662314e+00,1.336205617519579336e+00,1.184809976288387912e+00,9.940435489973463712e-01,8.121647843143446899e-01,1.587235052584406336e+00,6.088005214663594344e-01
3.102040816326530503e+00,3.508112250995836234e-01,1.445550270980984209e+00,1.318146355926569591e+00,1.171181316825959051e+00,9.826801191847475136e-01,8.038470590399400262e-01,1.567898039838937496e+00,6.024391618262472381e-01
3.183673469387754640e+00,3.477891969090606272e-01,1.426682684032854809e+00,1.299681495053453428e+00,1.157459183289790028e+00,9.715935983940894305e-01,7.956239422769028069e-01,1.548938882330852529e+00,5.959982098981566612e-01
3.265306122448979220e+00,3.447571017784781811e-01,1.407966604912525010e+00,1.280858158503559885e+00,1.143704280364223003e+00,9.608650661388863368e-01,7.875551023367391990e-01,1.530450025781140644e+00,5.895172444180221127e-01
3.346938775510203801e+00,3.417396133397237468e-01,1.389479030047247043e+00,1.261723469880219106e+00,1.129977312733601025e+00,9.505756019326531137e-01,7.797002075309550362e-01,1.512523915910787720e+00,5.830358441217772247e-01
3.428571428571428381e+00,3.387614052246848972e-01,1.371296955864272249e+00,1.242324552786761016e+00,1.116338985082266699e+00,9.408062852889049754e-01,7.721189261710562635e-01,1.495252998440784076e+00,5.765935877453561842e-01
3.510204081632652962e+00,3.358471510652487058e-01,1.353497378790851968e+00,1.222708530826514650e+00,1.102850002094564186e+00,9.316381957211565812e-01,7.648709265685497138e-01,1.478729719092115591e+00,5.702300540246931781e-01
3.591836734693877098e+00,3.330215244933026342e-01,1.336157295254237098e+00,1.202922527602809932e+00,1.089571068454834979e+00,9.231524127429233673e-01,7.580158770349409991e-01,1.463046523585771475e+00,5.639848216957222826e-01
3.673469387755101678e+00,3.303091991407341999e-01,1.319353701681681201e+00,1.183013666718977230e+00,1.076562888847422794e+00,9.154300158677199928e-01,7.516134458817367303e-01,1.448295857642738715e+00,5.578974694943781287e-01
3.755102040816326259e+00,3.277348486394305871e-01,1.303163594500432954e+00,1.163029071778345802e+00,1.063886167956670237e+00,9.085520846090604508e-01,7.457233014204425192e-01,1.434570166984006745e+00,5.520075761565939043e-01
3.836734693877550839e+00,3.253231466212792022e-01,1.287663970137746583e+00,1.143015866384244017e+00,1.051601610466920800e+00,9.025996984804613987e-01,7.404051119625658650e-01,1.421961897330561220e+00,5.463547204183043515e-01
3.918367346938775420e+00,3.230987667181677847e-01,1.272931825020871655e+00,1.123021174140004241e+00,1.039769921062516422e+00,8.976539369954363856e-01,7.357185458196113803e-01,1.410563494403392681e+00,5.409784810154434354e-01
4.000000000000000000e+00,3.210863825619831857e-01,1.259044155577061730e+00,1.103092118648954401e+00,1.028451804427800376e+00,8.937958796675018469e-01,7.317232713030856761e-01,1.400467403923487453e+00,5.359184366839455649e-01
