# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_1o0,average_velocity_axis_0_t_inf__params_1o0_8o0,average_velocity_axis_0_t_inf__params_1o0_4o0,average_velocity_axis_0_t_inf__params_1o0_2o0
2.775510204081632626e+00,3.587066495777476161e-01,1.954593178519991314e-01,2.990087036404424636e-01,3.385913852163586757e-01
2.938775510204081343e+00,3.574251373220855288e-01,1.938692980662749532e-01,2.967349161825372228e-01,3.369929831949183829e-01
3.102040816326530503e+00,3.553746727584953247e-01,1.922328212570808270e-01,2.939438316342150026e-01,3.347357090077073827e-01
3.265306122448979220e+00,3.526089184704604418e-01,1.905523514721834677e-01,2.906756722394895354e-01,3.318674241400051406e-01
3.428571428571428381e+00,3.491815370414647068e-01,1.888303527593495623e-01,2.869706602423746089e-01,3.284359900770907892e-01
3.591836734693877098e+00,3.451461910549913914e-01,1.870692891663458535e-01,2.828690178868840110e-01,3.244892683042440162e-01
3.755102040816326259e+00,3.405565430945244332e-01,1.852716247409390005e-01,2.784109674170314186e-01,3.200751203067439543e-01
3.918367346938775420e+00,3.354662557435473258e-01,1.834398235308957736e-01,2.736367310768309524e-01,3.152414075698698470e-01
4.081632653061224580e+00,3.299289915855434518e-01,1.815763495839827768e-01,2.685865311102959563e-01,3.100359915789011600e-01
4.244897959183672853e+00,3.239984132039966935e-01,1.796836669479668358e-01,2.633005897614406066e-01,3.045067338191170814e-01
4.408163265306122014e+00,3.177281831823904890e-01,1.777642396706145544e-01,2.578191292742786356e-01,2.987014957757970768e-01
4.571428571428571175e+00,3.111719641042085538e-01,1.758205317996926753e-01,2.521823718928234426e-01,2.926681389342203343e-01
4.734693877551020336e+00,3.043834185529343261e-01,1.738550073829679410e-01,2.464305398610893982e-01,2.864545247796664307e-01
4.897959183673468608e+00,2.974162091120516882e-01,1.718701304682070108e-01,2.406038554230899573e-01,2.801085147974144984e-01
5.061224489795917769e+00,2.903239983650439116e-01,1.698683651031766273e-01,2.347425408228387689e-01,2.736779704727437812e-01
5.224489795918366930e+00,2.831604488953948229e-01,1.678521753356434221e-01,2.288868183043499260e-01,2.672107532909338556e-01
5.387755102040816091e+00,2.759792232865876938e-01,1.658240252133741655e-01,2.230769101116370778e-01,2.607547247372637989e-01
5.551020408163265252e+00,2.688339841221066839e-01,1.637863787841355723e-01,2.173530384887141786e-01,2.543577462970132430e-01
5.714285714285713524e+00,2.617783939854348429e-01,1.617417000956943296e-01,2.117554256795947110e-01,2.480676794554611542e-01
5.877551020408162685e+00,2.548661154600559975e-01,1.596924531958170967e-01,2.063242939282927679e-01,2.419323856978870535e-01
6.040816326530611846e+00,2.481508111294539742e-01,1.576411021322706996e-01,2.010998654788219153e-01,2.359997265095703511e-01
6.204081632653061007e+00,2.416861435771118782e-01,1.555901109528216864e-01,1.961223625751961075e-01,2.303175633757901797e-01
6.367346938775509280e+00,2.355257753865138692e-01,1.535419437052368830e-01,1.914320074614290212e-01,2.249337577818261713e-01
6.530612244897958441e+00,2.297233691411429968e-01,1.514990644372829487e-01,1.870690223815346664e-01,2.198961712129573476e-01
6.693877551020407601e+00,2.243325874244833651e-01,1.494639371967265706e-01,1.830736295795264978e-01,2.152526651544631742e-01
6.857142857142856762e+00,2.194070928200182458e-01,1.474390260313344914e-01,1.794860512994183588e-01,2.110511010916226171e-01
7.020408163265305923e+00,2.150005479112314655e-01,1.454267949888733980e-01,1.763465097852242591e-01,2.073393405097158082e-01
7.183673469387754196e+00,2.111666152816058517e-01,1.434297081171100052e-01,1.736952272809577646e-01,2.041652448940212139e-01
7.346938775510203357e+00,2.079589575146263414e-01,1.414502294638110280e-01,1.715724260306329407e-01,2.015766757298188550e-01
7.510204081632652517e+00,2.054312371937755399e-01,1.394908230767430979e-01,1.700183282782633531e-01,1.996214945023877529e-01
7.673469387755101678e+00,2.036371169025373851e-01,1.375539530036730407e-01,1.690731562678626787e-01,1.983475626970067074e-01
7.836734693877550839e+00,2.026302592243955925e-01,1.356420832923674880e-01,1.687771322434451493e-01,1.978027417989559611e-01
8.000000000000000000e+00,2.024643267428334337e-01,1.337576779905931268e-01,1.691704784490241087e-01,1.980348932935146467e-01
