# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_2o0,average_velocity_axis_0_t_inf__params_1o0_0o75,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_1o0_0o5,average_velocity_axis_0_t_inf__params_1o0_1o5,average_velocity_axis_0_t_inf__params_1o0_0o25,average_velocity_axis_0_t_inf__params_1o0_4o0
3.591836734693877098e+00,2.163721247448407992e-01,2.917441824258657501e-01,1.834413217425868714e-01,3.146543771391594468e-01,2.391659884990805229e-01,3.324135013371828373e-01,1.671585888082584015e-01
3.755102040816326259e+00,2.117822114050904037e-01,2.870981407070419822e-01,1.790185659045076816e-01,3.107721393721428194e-01,2.346127484212566783e-01,3.283983204774467146e-01,1.624719990594325481e-01
3.918367346938775420e+00,2.070612308033187021e-01,2.821793715887146448e-01,1.745428533275213967e-01,3.065603614230028029e-01,2.298903685382981954e-01,3.239921988444373624e-01,1.577427791391401157e-01
4.081632653061224580e+00,2.022360889701203535e-01,2.770268744439641218e-01,1.700362649424718986e-01,3.020541344003184747e-01,2.250281517932228859e-01,3.192368434337470307e-01,1.529940022326284621e-01
4.244897959183672853e+00,1.973336919360899055e-01,2.716796486458715743e-01,1.655208816802032357e-01,2.972885494126696893e-01,2.200554011290482559e-01,3.141739612409680804e-01,1.482487415251450280e-01
4.408163265306122014e+00,1.923809457318220173e-01,2.661766935675174972e-01,1.610187844715589289e-01,2.922986975686350242e-01,2.150014194887917007e-01,3.088452592616925396e-01,1.435300702019370600e-01
4.571428571428571175e+00,1.874047563879110423e-01,2.605570085819827186e-01,1.565520542473829435e-01,2.871196699767939453e-01,2.098955098154711152e-01,3.032924444915128248e-01,1.388610614482519434e-01
4.734693877551020336e+00,1.824320299349516949e-01,2.548595930623478445e-01,1.521427719385192723e-01,2.817865577457259185e-01,2.047669750521037557e-01,2.975572239260212415e-01,1.342647884493370913e-01
4.897959183673468608e+00,1.774896724035385787e-01,2.491234463816938416e-01,1.478130184758116583e-01,2.763344519840098545e-01,1.996451181417075171e-01,2.916813045608103172e-01,1.297643243904399168e-01
5.061224489795917769e+00,1.726045898242662968e-01,2.433875679131010938e-01,1.435848747901038169e-01,2.707984438002253302e-01,1.945592420272997392e-01,2.857063933914718579e-01,1.253827424568076943e-01
5.224489795918366930e+00,1.678036882277293418e-01,2.376909570296508456e-01,1.394804218122398520e-01,2.652136243029512563e-01,1.895386496518980668e-01,2.796741974135985576e-01,1.211431158336877811e-01
5.387755102040816091e+00,1.631138736445222892e-01,2.320726131044233143e-01,1.355217404730633401e-01,2.596150846007669322e-01,1.846126439585200063e-01,2.736264236227822222e-01,1.170685177063275906e-01
5.551020408163265252e+00,1.585620521052398535e-01,2.265715355104995776e-01,1.317309117034182742e-01,2.540379158022516570e-01,1.798105278901832582e-01,2.676047790146154903e-01,1.131820212599745079e-01
5.714285714285713524e+00,1.541751296404763327e-01,2.212267236209602972e-01,1.281300164341484804e-01,2.485172090159846192e-01,1.751616043899054398e-01,2.616509705846905565e-01,1.095066996798758907e-01
5.877551020408162685e+00,1.499800122808266079e-01,2.160771768088861067e-01,1.247411355960977852e-01,2.430880553505452291e-01,1.706951764007039740e-01,2.558067053285999481e-01,1.060656261512790965e-01
6.040816326530611846e+00,1.460036060568851157e-01,2.111618944473580561e-01,1.215863501201100705e-01,2.377855459145125638e-01,1.664405468655965337e-01,2.501136902419354713e-01,1.028818738594314830e-01
6.204081632653061007e+00,1.422728169992464597e-01,2.065198759094561964e-01,1.186877409370291625e-01,2.326447718164658673e-01,1.624270187276005695e-01,2.446136323202896534e-01,9.997851598958040764e-02
6.367346938775509280e+00,1.388145511385051600e-01,2.021901205682621883e-01,1.160673889776988876e-01,2.277008241649843834e-01,1.586838949297337820e-01,2.393482385592550776e-01,9.737862572697325581e-02
6.530612244897958441e+00,1.356557145052559865e-01,1.982116277968561380e-01,1.137473751729631000e-01,2.229887940686474668e-01,1.552404784150137607e-01,2.343592159544233833e-01,9.510527625685744058e-02
6.693877551020407601e+00,1.328232131300931540e-01,1.946233969683189846e-01,1.117497804536656814e-01,2.185437726360341393e-01,1.521260721264580673e-01,2.296882715013873755e-01,9.318154076448026402e-02
6.857142857142856762e+00,1.303439530436116267e-01,1.914644274557311121e-01,1.100966857506503471e-01,2.144008509757238667e-01,1.493699790070842637e-01,2.253771121957388601e-01,9.163049243508908370e-02
7.020408163265305923e+00,1.282448402764057582e-01,1.887737186321741811e-01,1.088101719947610069e-01,2.105951201962955599e-01,1.470015019999098560e-01,2.214674450330708089e-01,9.047520445393147925e-02
7.183673469387754196e+00,1.265527808590702352e-01,1.865902698707277985e-01,1.079123201168415980e-01,2.071616714063286846e-01,1.450499440479524060e-01,2.180009770089748056e-01,8.973875000625441967e-02
7.346938775510203357e+00,1.252946808221994668e-01,1.849530805444734582e-01,1.074252110477359468e-01,2.041355957144027622e-01,1.435446080942296421e-01,2.150194151190435443e-01,8.944420227730559558e-02
7.510204081632652517e+00,1.244974461963881951e-01,1.839011500264914334e-01,1.073709257182877130e-01,2.015519842290964814e-01,1.425147970817591259e-01,2.125644663588689420e-01,8.961463445233219804e-02
7.673469387755101678e+00,1.241879830122309403e-01,1.834734776898631070e-01,1.077715450593409452e-01,1.994459280589891970e-01,1.419898139535582526e-01,2.106778377240438038e-01,9.027311971658169565e-02
7.836734693877550839e+00,1.243931973003222780e-01,1.837090629076687520e-01,1.086491500017394696e-01,1.978525183126603748e-01,1.419989616526448062e-01,2.094012362101600466e-01,9.144273125530139046e-02
8.000000000000000000e+00,1.251399950912568393e-01,1.846469050529888634e-01,1.100258214763270015e-01,1.968068460986892587e-01,1.425715431220361262e-01,2.087763688128101425e-01,9.314654225373880658e-02
