# surftimeprefactor,average_velocity_axis_0_t_inf__params_0o1,average_velocity_axis_0_t_inf__params_0o2,average_velocity_axis_0_t_inf__params_0o8,average_velocity_axis_0_t_inf__params_0o05,average_velocity_axis_0_t_inf__params_0o4
2.020408163265305923e+00,-6.659932135603294778e-01,-4.565154714645212608e-01,3.725209348682145816e-03,-7.997276097398389183e-01,-1.916079224798672431e-01
2.081632653061224580e+00,-6.671912504555689294e-01,-4.602339577751129451e-01,-1.281571993254848607e-02,-8.007569794757757320e-01,-2.012799578015732616e-01
2.142857142857142794e+00,-6.683745523591075877e-01,-4.638742584479969011e-01,-2.823742663114803264e-02,-8.017571510068581819e-01,-2.108023799907254858e-01
2.204081632653061007e+00,-6.695016208402755353e-01,-4.673608761578319504e-01,-4.235071872377416113e-02,-8.026985381981054379e-01,-2.200585701470045841e-01
2.265306122448979664e+00,-6.705309574684026330e-01,-4.706183135792760819e-01,-5.496640418708342857e-02,-8.035515549145357816e-01,-2.289319093700901142e-01
2.326530612244897878e+00,-6.714210638128195185e-01,-4.735710733869883393e-01,-6.589529099773328014e-02,-8.042866150211682719e-01,-2.373057787596617452e-01
2.387755102040816091e+00,-6.721304414428552754e-01,-4.761436582556264341e-01,-7.494818713237960672e-02,-8.048741323830211902e-01,-2.450635594153991459e-01
2.448979591836734748e+00,-6.726175919278408744e-01,-4.782605708598490768e-01,-8.193590056768096375e-02,-8.052845208651132625e-01,-2.520886324369813192e-01
2.510204081632652962e+00,-6.728410168371059541e-01,-4.798463138743150891e-01,-8.666923928029213187e-02,-8.054881943324629923e-01,-2.582643789240894883e-01
2.571428571428571175e+00,-6.727592177399802642e-01,-4.808253899736821824e-01,-8.895901124687144446e-02,-8.054555666500893274e-01,-2.634741799764019898e-01
2.632653061224489832e+00,-6.723306962057941094e-01,-4.811223018326089562e-01,-8.861602444407568058e-02,-8.051570516830108826e-01,-2.676014166935993810e-01
2.693877551020408045e+00,-6.715139538038776834e-01,-4.806615521257546764e-01,-8.545108684856161929e-02,-8.045630632962461615e-01,-2.705294701753613307e-01
2.755102040816326259e+00,-6.702674921035608469e-01,-4.793676435277762771e-01,-7.927500643698559557e-02,-8.036440153548138898e-01,-2.721417215213668417e-01
2.816326530612244916e+00,-6.685498126741736824e-01,-4.771650787133339122e-01,-6.989859118600527665e-02,-8.023703217237323493e-01,-2.723215518312966932e-01
2.877551020408163129e+00,-6.663194170850459397e-01,-4.739783603570841830e-01,-5.713264907227610934e-02,-8.007123962680205986e-01,-2.709523422048292218e-01
2.938775510204081343e+00,-6.635348069055085896e-01,-4.697319911336872433e-01,-4.078798807245753721e-02,-7.986406528526972526e-01,-2.679174737416465391e-01
3.000000000000000000e+00,-6.601544837048907155e-01,-4.643504737178003605e-01,-2.067541616320411890e-02,-7.961255053427811479e-01,-2.631003275414265374e-01
