# omega_y,average_angle
1.023622047244094446e+00,-5.355459955416206341e-01
1.055118110236220375e+00,-5.519000162598557413e-01
1.086614173228346303e+00,-5.682442680609960384e-01
1.118110236220472231e+00,-5.845786160069871285e-01
1.149606299212598159e+00,-6.009029329179593759e-01
1.181102362204724532e+00,-6.172170992639924858e-01
1.212598425196850460e+00,-6.335210030537598014e-01
1.244094488188976388e+00,-6.498145397204118101e-01
1.275590551181102317e+00,-6.660976120050331462e-01
1.307086614173228245e+00,-6.823701298379211133e-01
1.338582677165354173e+00,-6.986320102180393343e-01
1.370078740157480102e+00,-7.148831770908680161e-01
1.401574803149606474e+00,-7.311235612248959681e-01
1.433070866141732402e+00,-7.473531000870391461e-01
1.464566929133858331e+00,-7.635717377171360454e-01
1.496062992125984259e+00,-7.797794246017927255e-01
1.527559055118110187e+00,-7.959761175477226836e-01
1.559055118110236116e+00,-8.121617795547773078e-01
1.590551181102362044e+00,-8.283363796888317809e-01
1.622047244094487972e+00,-8.444998929547048450e-01
1.653543307086613900e+00,-8.606523001692090169e-01
1.685039370078740273e+00,-8.767935878345045619e-01
1.716535433070866201e+00,-8.929237480118831227e-01
1.748031496062992129e+00,-9.090427781960573883e-01
1.779527559055118058e+00,-9.251506811900993554e-01
1.811023622047243986e+00,-9.412474649811267691e-01
1.842519685039369914e+00,-9.573331426167909219e-01
1.874015748031495843e+00,-9.734077320826821644e-01
1.905511811023622215e+00,-9.894712561807205153e-01
1.937007874015748143e+00,-1.005523742408582555e+00
1.968503937007874072e+00,-1.021565222840243647e+00
2.000000000000000000e+00,-1.037595734007713988e+00
