# angular_frequency,average_fft_tr(J^2),95CLI
1.517263587977726331e+02,2.011540828300876438e+00,1.332997616310135636e-01
1.523559339655520546e+02,2.006565136661445869e+00,1.336672565538641888e-01
1.529855091333314476e+02,1.964244289789365716e+00,1.288016072822183167e-01
1.536150843011108122e+02,1.962266022306108582e+00,1.277414805689758848e-01
1.542446594688902337e+02,1.918396132988666958e+00,1.275437186013274882e-01
1.548742346366696268e+02,1.931645404348046879e+00,1.290249351105942632e-01
1.555038098044490198e+02,1.913801412238298694e+00,1.303315548460495521e-01
1.561333849722284128e+02,1.879747568790790302e+00,1.261590567884859904e-01
1.567629601400078059e+02,1.859014317952288220e+00,1.253003195290902372e-01
1.573925353077871989e+02,1.830873287905293356e+00,1.255450092998570688e-01
1.580221104755665920e+02,1.825457975205521999e+00,1.259337522421755673e-01
1.586516856433459850e+02,1.797963264847860065e+00,1.214702593850611190e-01
1.592812608111253780e+02,1.770836355170073428e+00,1.184442042802111156e-01
1.599108359789047711e+02,1.742341120369071961e+00,1.175303518217267751e-01
1.605404111466841641e+02,1.726468876173607336e+00,1.165876465510861937e-01
1.611699863144635572e+02,1.724219152301081470e+00,1.185929253271138517e-01
1.617995614822429502e+02,1.701160810189757733e+00,1.171301118542786984e-01
1.624291366500223717e+02,1.672590396043530214e+00,1.138340915801977632e-01
1.630587118178017647e+02,1.669310478396704767e+00,1.143021161179032796e-01
1.636882869855811293e+02,1.666796073195806471e+00,1.151268116801495711e-01
1.643178621533605224e+02,1.654546275733352001e+00,1.134185343230689341e-01
1.649474373211399154e+02,1.625170649807489820e+00,1.102755205035339525e-01
1.655770124889193369e+02,1.611546915460859264e+00,1.060334619275182660e-01
1.662065876566987299e+02,1.606487586966720338e+00,1.055483314305034198e-01
1.668361628244781230e+02,1.585739462763420482e+00,1.046175797850352474e-01
1.674657379922574876e+02,1.580987132589531052e+00,1.042047499064331084e-01
1.680953131600369090e+02,1.536520386701559104e+00,9.922933831299102225e-02
