# surftimeprefactor,average_velocity_axis_2_t_inf__params_0o1,average_velocity_axis_2_t_inf__params_0o2,average_velocity_axis_2_t_inf__params_0o8,average_velocity_axis_2_t_inf__params_0o05,average_velocity_axis_2_t_inf__params_0o4
1.775510204081632626e+00,1.135866661092852503e-01,1.932953115065032812e-01,6.381714742273321139e-01,6.722618470506820654e-02,3.470786381521552832e-01
1.836734693877551061e+00,1.126725559905660257e-01,1.914359458912170964e-01,6.292088450923909448e-01,6.681909547266778882e-02,3.433052004254409928e-01
1.897959183673469274e+00,1.117282329292290377e-01,1.895423669059347338e-01,6.200373961812566392e-01,6.638710548995807592e-02,3.394499323410959390e-01
1.959183673469387710e+00,1.107593369985863385e-01,1.876212429267959947e-01,6.106570859181158495e-01,6.593403411945175652e-02,3.355163617224124484e-01
2.020408163265305923e+00,1.097715082719500912e-01,1.856792423299406802e-01,6.010678727271560051e-01,6.546370072366172743e-02,3.315080163926827361e-01
2.081632653061224580e+00,1.087703868226323617e-01,1.837230334915083974e-01,5.912697150325635365e-01,6.497992466510063569e-02,3.274284241751990732e-01
2.142857142857142794e+00,1.077616127239453547e-01,1.817592847876389750e-01,5.812625712585263171e-01,6.448652530628133650e-02,3.232811128932537303e-01
2.204081632653061007e+00,1.067508260492010808e-01,1.797946645944721311e-01,5.710463998292308885e-01,6.398732200971656014e-02,3.190696103701389230e-01
2.265306122448979664e+00,1.057436668717117445e-01,1.778358412881475836e-01,5.606211591688642359e-01,6.348613413791909243e-02,3.147974444291470331e-01
2.326530612244897878e+00,1.047457752647893980e-01,1.758894832448051893e-01,5.499868077016139001e-01,6.298678105340166367e-02,3.104681428935702203e-01
2.387755102040816091e+00,1.037627913017462322e-01,1.739622588405846104e-01,5.391433038516667553e-01,6.249308211867711516e-02,3.060852335867008112e-01
2.448979591836734748e+00,1.028003550558943269e-01,1.720608364516255095e-01,5.280906060432095650e-01,6.200885669625816332e-02,3.016522443318309654e-01
2.510204081632652962e+00,1.018641066005457896e-01,1.701918844540677989e-01,5.168286727004299808e-01,6.153792414865757315e-02,2.971727029522530650e-01
2.571428571428571175e+00,1.009596860090127696e-01,1.683620712240511130e-01,5.053574622475145439e-01,6.108410383838816515e-02,2.926501372712593807e-01
2.632653061224489832e+00,1.000927333546073467e-01,1.665780651377152533e-01,4.936769331086506285e-01,6.065121512796267655e-02,2.880880751121420724e-01
2.693877551020408045e+00,9.926888871064169784e-02,1.648465345711999375e-01,4.817870437080251644e-01,6.024307737989389316e-02,2.834900442981934110e-01
2.755102040816326259e+00,9.849379215042793068e-02,1.631741479006448836e-01,4.696877524698251927e-01,5.986350995669455916e-02,2.788595726527057783e-01
2.816326530612244916e+00,9.777308374727808338e-02,1.615675735021898651e-01,4.573790178182379207e-01,5.951633222087746034e-02,2.742001879989712232e-01
2.877551020408163129e+00,9.711240357450437455e-02,1.600334797519746832e-01,4.448607981774503894e-01,5.920536353495539639e-02,2.695154181602823495e-01
2.938775510204081343e+00,9.651739170541882851e-02,1.585785350261389171e-01,4.321330519716495844e-01,5.893442326144106291e-02,2.648087909599310397e-01
3.000000000000000000e+00,9.599368821333367774e-02,1.572094077008224788e-01,4.191957376250226019e-01,5.870733076284730123e-02,2.600838342212098420e-01
