# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_1o0,average_velocity_axis_0_t_inf__params_1o0_2o0,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_1o0_4o0,average_velocity_axis_0_t_inf__params_1o0_5o0,average_velocity_axis_0_t_inf__params_1o0_6o0
1.224489795918367374e+00,2.128548109432720492e-01,3.252964226704654904e-01,3.297689871556583885e-01,3.372565204330790767e-01,3.333402015997290468e-01,3.333756906816057186e-01
1.326530612244897878e+00,2.126053611864135440e-01,3.299809336617114397e-01,3.350068688855187826e-01,3.425007027994351749e-01,3.388141386139932876e-01,3.386403600262377633e-01
1.428571428571428603e+00,2.123610843327684850e-01,3.341129851647348104e-01,3.396688708909582632e-01,3.470512276516941053e-01,3.436463297825564922e-01,3.433388518602413786e-01
1.530612244897959329e+00,2.121228655443151423e-01,3.377177244229137010e-01,3.437765650221894509e-01,3.509327884113380702e-01,3.478581708153463681e-01,3.474908559858782553e-01
1.632653061224489832e+00,2.118915899830317584e-01,3.408202986796260991e-01,3.473515231294249661e-01,3.541700784998492724e-01,3.514710574222909001e-01,3.511160622054100289e-01
1.734693877551020336e+00,2.116681428108966589e-01,3.434458551782501590e-01,3.504153170628776515e-01,3.567877913387096922e-01,3.545063853133180176e-01,3.542341603210984458e-01
1.836734693877551061e+00,2.114534091898880308e-01,3.456195411621638680e-01,3.529895186727600165e-01,3.588106203494015323e-01,3.569855501983556501e-01,3.568648401352051414e-01
1.938775510204081787e+00,2.112482742819842829e-01,3.473665038747450473e-01,3.550956998092849037e-01,3.602632589534068286e-01,3.589299477873315602e-01,3.590277914499919176e-01
2.040816326530612290e+00,2.110536232491636022e-01,3.487118905593720730e-01,3.567554323226649338e-01,3.611704005722076727e-01,3.603609737901737886e-01,3.607427040677204655e-01
2.142857142857142794e+00,2.108703412534042587e-01,3.496808484594229327e-01,3.579902880631128381e-01,3.615567386272861006e-01,3.613000239168101535e-01,3.620292677906524204e-01
2.244897959183673741e+00,2.106993134566845782e-01,3.502985248182754474e-01,3.588218388808414039e-01,3.614469665401244258e-01,3.617684938771686398e-01,3.629071724210496397e-01
2.346938775510204245e+00,2.105414250209828586e-01,3.505900668793077712e-01,3.592716566260630295e-01,3.608657777322045734e-01,3.617877793811770104e-01,3.633961077611735924e-01
2.448979591836734748e+00,2.103975611082773145e-01,3.505806218858980583e-01,3.593613131489907242e-01,3.598378656250087460e-01,3.613792761387634167e-01,3.635157636132861358e-01
2.551020408163265252e+00,2.102686068805462716e-01,3.502953370814242962e-01,3.591123802998369974e-01,3.583879236400190349e-01,3.605643798598555660e-01,3.632858297796488500e-01
2.653061224489795755e+00,2.101554474997679722e-01,3.497593597092644724e-01,3.585464299288145251e-01,3.565406451987174208e-01,3.593644862543814988e-01,3.627259960625236479e-01
2.755102040816326703e+00,2.100589681279207421e-01,3.489978370127965190e-01,3.576850338861362610e-01,3.543207237225861062e-01,3.578009910322690335e-01,3.618559522641721649e-01
2.857142857142857206e+00,2.099800539269828237e-01,3.480359162353986457e-01,3.565497640220145481e-01,3.517528526331072380e-01,3.558952899034459882e-01,3.606953881868560363e-01
2.959183673469387710e+00,2.099195900589324593e-01,3.468987446204490066e-01,3.551621921866623399e-01,3.488617253517629080e-01,3.536687785778404036e-01,3.592639936328368977e-01
3.061224489795918657e+00,2.098784616857480023e-01,3.456114694113252561e-01,3.535438902302922015e-01,3.456720353000350410e-01,3.511428527653802090e-01,3.575814584043764954e-01
3.163265306122449161e+00,2.098575539694077507e-01,3.441992378514057149e-01,3.517164300031168089e-01,3.422084758994059506e-01,3.483389081759932782e-01,3.556674723037365760e-01
3.265306122448979664e+00,2.098577520718898637e-01,3.426871971840684816e-01,3.497013833553489492e-01,3.384957405713577838e-01,3.452783405196074851e-01,3.535417251331788302e-01
3.367346938775510168e+00,2.098799411551727501e-01,3.411004946526914883e-01,3.475203221372012985e-01,3.345585227373724657e-01,3.419825455061507036e-01,3.512239066949650601e-01
3.469387755102040671e+00,2.099250063812345690e-01,3.394642775006527780e-01,3.451948181988864217e-01,3.304215158189321433e-01,3.384729188455508631e-01,3.487337067913567901e-01
3.571428571428571619e+00,2.099938329120537017e-01,3.378036929713303382e-01,3.427464433906173280e-01,3.261094132375189636e-01,3.347708562477360039e-01,3.460908152246158220e-01
3.673469387755102122e+00,2.100873059096083628e-01,3.361438883081022677e-01,3.401967695626061383e-01,3.216469084146149071e-01,3.308977534226337225e-01,3.433149217970038469e-01
3.775510204081632626e+00,2.102063105358768502e-01,3.345100107543466095e-01,3.375673685650661948e-01,3.170586947717022874e-01,3.268750060801722812e-01,3.404257163107825557e-01
3.877551020408163573e+00,2.103517319528374063e-01,3.329272075534411846e-01,3.348798122482097850e-01,3.123694657302630295e-01,3.227240099302793874e-01,3.374428885682135282e-01
3.979591836734694077e+00,2.105244553224684123e-01,3.314206259487645356e-01,3.321556724622497514e-01,3.076039147117794470e-01,3.184661606828829705e-01,3.343861283715587329e-01
4.081632653061224580e+00,2.107253658067480551e-01,3.300154131836943172e-01,3.294165210573987146e-01,3.027867351377334093e-01,3.141228540479110154e-01,3.312751255230798608e-01
4.183673469387755084e+00,2.109553485676546603e-01,3.287367165016087389e-01,3.266839298838695171e-01,2.979426204296071745e-01,3.097154857352913959e-01,3.281295698250382697e-01
4.285714285714285587e+00,2.112152887671664703e-01,3.276096831458857883e-01,3.239794707918747241e-01,2.930962640088827231e-01,3.052654514549518749e-01,3.249691510796960947e-01
4.387755102040816091e+00,2.115060715672617553e-01,3.266594603599032864e-01,3.213247156316269004e-01,2.882723592970422577e-01,3.007941469168204929e-01,3.218135590893146936e-01
4.489795918367347483e+00,2.118285821299188409e-01,3.259111953870396095e-01,3.187412362533390553e-01,2.834955997155677587e-01,2.963229678308251791e-01,3.186824836561559793e-01
4.591836734693877986e+00,2.121837056171159419e-01,3.253900354706727449e-01,3.162506045072236982e-01,2.787906786859415398e-01,2.918733099068938630e-01,3.155956145824815318e-01
4.693877551020408490e+00,2.125723271908314393e-01,3.251211278541803473e-01,3.138743922434933387e-01,2.741822896296454148e-01,2.874665688549540854e-01,3.125726416705529864e-01
4.795918367346938993e+00,2.129953320130435201e-01,3.251296197809411259e-01,3.116341713123610968e-01,2.696951259681617530e-01,2.831241403849343863e-01,3.096332547226323118e-01
4.897959183673469497e+00,2.134536052457304822e-01,3.254406584943325131e-01,3.095515135640394266e-01,2.653538811229727568e-01,2.788674202067624730e-01,3.067971435409810321e-01
5.000000000000000000e+00,2.139480320508706512e-01,3.260793912377329962e-01,3.076479908487408932e-01,2.611832485155601846e-01,2.747178040303656088e-01,3.040839979278608385e-01
