# average_velocity_axis_0_t_inf,95CLI,us/u_eta,surftimeconst/t_eta,swimnoise,dirnoise,jnoise
1.988413715022193870e-02,1.292071531709135593e-02,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.108704741625680251e-01,1.295303065366739358e-02,1.000000000000000000e+00,4.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.975556217169097795e-02,1.326033002483670981e-02,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.767569485976813626e-02,1.275948548353192553e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.123949328360601532e-02,1.280885302087969926e-02,1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.028831033863228245e-01,1.285139939103513776e-02,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.225835989952768573e-02,1.279664662217551083e-02,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01
2.824890463459415330e-02,1.271440754604782203e-02,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
2.721460762541265052e-02,1.288755602040144582e-02,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.319668032355516260e-02,1.279448535399529616e-02,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
8.971459503500570087e-02,1.295992287063710453e-02,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
8.439162229964089490e-02,1.307518668918588797e-02,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.934812462185214132e-02,1.281125120296366243e-02,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.826257868786525088e-02,1.294573439725715640e-02,1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.061084405652630847e-01,1.320518185837627444e-02,1.000000000000000000e+00,6.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.141732372036157572e-02,1.287910331110821670e-02,1.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.498605414206091113e-02,1.284364459571399331e-02,1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.146880776774959643e-02,1.294905692185352800e-02,1.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.096537448575375939e-01,1.281889383376128531e-02,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.135510031722597346e-02,1.288110626702699407e-02,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01
3.418449655624052064e-02,1.295878792040957780e-02,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
1.768714594381524605e-02,1.254720751636218164e-02,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.682391666736370917e-02,1.280020051171687316e-02,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
1.007820925988272831e-01,1.283959979848149288e-02,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
7.608178819851055263e-02,1.273217426162481444e-02,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00
4.477512065007974162e-02,1.315467372057923384e-02,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.147862153254092785e-02,1.264833085589804097e-02,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
9.291591921472105997e-02,1.291604980044269886e-02,1.000000000000000000e+00,8.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.159735543076095610e-02,1.291703057471875297e-02,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.167477440953169493e-02,1.292562906649507605e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.630343028905134994e-02,1.276660121107957811e-02,1.000000000000000000e+00,8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
