# average_velocity_axis_0_t_inf,95CLI,us/u_eta,surftimeconst/t_eta,proportion,omegamax * t_eta,reacttime/t_eta
9.790982993053852501e-02,1.682666842441327137e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01
9.172523422166341256e-02,1.637084585747494714e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e-01
2.211046644515916176e-02,1.635573698368404660e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,1.000000000000000000e+00
4.053235845593873565e-02,1.652878889716481725e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000000e+00
7.052160452860495310e-02,1.646481220748731086e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00
9.907583333652786317e-02,1.601075555384004825e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.875968524307686014e-02,1.640089955199696900e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
7.187448548381532298e-02,1.647362246734352179e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
7.357048775894720061e-02,1.635225663088592241e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00
3.045439625628680244e-02,1.653744909147014316e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,5.000000000000000278e-02
5.090178862357397360e-02,1.635328427084953989e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,5.000000000000000278e-02
1.026442636297074384e-01,1.652362699048348996e-02,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000278e-02
