# average_velocity_axis_0,95CLI,us/u_eta,surftimeconst/t_eta,reorientationtime/t_eta
9.203615923076922944e-02,1.384834521588322771e-02,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.411344593956044002e-01,1.430391428048240210e-02,1.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.682024964285714352e-01,1.420076837851814294e-02,1.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.771442071428571685e-01,1.483144209044954913e-02,1.500000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
1.673130594505494451e-01,1.430794001599748275e-02,1.500000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
1.715235362637362315e-01,1.428484805844591234e-02,1.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
1.702830736813186752e-01,1.467615797979520201e-02,1.500000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
1.491778853296703289e-01,1.455414007926591514e-02,1.500000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
1.611441163186813352e-01,1.446722047041631466e-02,1.500000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
1.435001555494505587e-01,1.430163180462428948e-02,1.500000000000000000e+00,9.00000000000000000e+00,0.000000000000000000e+00
1.443250679670329550e-01,1.457861542720023836e-02,1.500000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.399602857421874957e-01,1.880177179814602334e-02,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.772291438476562286e-01,1.998052203862749412e-02,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.155848467773437416e-01,1.933921721692300269e-02,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
2.297866203125000228e-01,1.984463774463584088e-02,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.349128378906249759e-01,1.966758940400953684e-02,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
2.262971590820312406e-01,1.968165038886188906e-02,2.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
2.357901749023437743e-01,1.868759020102782678e-02,2.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
1.937925583007812369e-01,1.939341888280937329e-02,2.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
1.861816125000000099e-01,1.957329875640403255e-02,2.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
2.026115473632812414e-01,1.993628629859582960e-02,2.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
1.978136580078124762e-01,1.900992135264415947e-02,2.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.664531993893129669e-01,2.304435283995198702e-02,2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.355788232061068466e-01,2.388772682609072509e-02,2.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.749471415267175645e-01,2.350895988095098171e-02,2.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
2.648194036641221549e-01,2.396472961795688070e-02,2.500000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.883700076335878326e-01,2.467885518852781096e-02,2.500000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
2.697542151145038147e-01,2.462596097291645802e-02,2.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
2.464533323664122311e-01,2.493218095456839478e-02,2.500000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.617921766412213969e-01,2.410965067692556058e-02,2.500000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
2.374992047328244316e-01,2.309802837372576523e-02,2.500000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
2.260563311450382029e-01,2.525125451030611409e-02,2.500000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
2.131393858015267484e-01,2.415321156074992301e-02,2.500000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.770796876923076968e-01,2.910866929233629080e-02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.891919523076922904e-01,3.045746046904588070e-02,3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.231475090109889869e-01,2.864193941708884431e-02,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
3.048975971428571352e-01,3.060081081153317312e-02,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
3.154353920879121587e-01,2.869413887110783962e-02,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
3.091957246153845817e-01,3.070602323926225480e-02,3.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
2.900634608791208824e-01,2.887680587317221353e-02,3.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.922021742857142668e-01,2.946409310071243515e-02,3.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
2.648411301098901327e-01,2.913051446399894315e-02,3.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
2.847042578021978243e-01,2.939702607093937561e-02,3.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
2.521392756043955852e-01,2.898937378697717671e-02,3.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.316313852747252933e-01,2.940077854378997380e-02,3.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.463481762637362071e-01,2.901419209995062878e-02,3.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.827869386813186892e-01,3.015517250081880402e-02,3.500000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
3.352606810989011143e-01,3.033839578548215565e-02,3.500000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
3.751513773626373172e-01,3.035094565204263586e-02,3.500000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
3.285650373626373688e-01,2.974907748298129956e-02,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
3.354129753846153972e-01,2.860722670343991345e-02,3.500000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
3.358620683516483352e-01,3.095076848103818154e-02,3.500000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
3.323596035164835261e-01,3.024520978982166500e-02,3.500000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
2.920472342857142745e-01,3.090396880811562691e-02,3.500000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
2.742706112087912040e-01,2.915535603290112313e-02,3.500000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.604425769230769294e-01,2.874819520814353088e-02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.706127028571428728e-01,2.957724113803653423e-02,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.846912898901098665e-01,2.937880779888593641e-02,4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.477567235164834902e-01,3.068441982278912600e-02,4.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
